HID1,HID2
151748,151771
11034,11499
11034,10674
11034,11234
11034,10840
20379,20274
34857,35043
34857,35417
34857,35225
139325,132834
139325,139308
139325,140034
96788,96797
96788,96903
96788,97139
137905,138051
137905,137857
137905,137874
137905,138053
137905,138312
137905,126355
108405,107878
108405,108296
131861,131644
131861,132672
131861,132112
131861,131612
131861,132002
131861,133132
131861,131639
118733,119839
118733,118833
118733,119442
121767,121880
121767,122122
121767,110242
121767,117344
113511,114314
113511,113678
71057,71443
71057,70198
71057,70427
71057,70999
71057,71069
71057,73004
71057,70498
109397,109291
109397,109469
106586,106828
106586,107263
106586,116259
70961,70204
70961,70625
70961,70866
70961,71527
25665,150008
25665,148705
129960,130035
129960,130812
129960,130382
129960,130888
129960,130483
127071,127074
91985,128174
91985,91951
91985,91656
91985,91933
91985,91506
91985,91992
91985,94067
17914,18207
17914,10506
124143,124017
150439,150895
82126,81560
79571,79173
43351,42758
43351,35222
43351,43105
139744,139641
139744,139903
139744,139921
139744,38117
131603,130920
131603,132274
131603,131462
49456,49321
49456,49907
118563,119681
80559,80652
80559,80688
80559,80867
145181,145500
11045,8386
11045,10724
11045,11595
11045,15369
127710,127881
127710,127739
36544,38367
83488,82967
83488,82336
83488,83024
83488,83402
83488,83618
8682,14584
8682,48223
8682,7856
8682,16081
130869,130757
39920,39383
39920,40359
120397,119878
37129,40343
37129,150153
37129,38061
37129,35725
122840,122998
122840,122969
95558,95894
101836,101649
131592,131571
24631,122358
54955,66098
54955,66718
106017,107155
106017,107348
106017,105492
20986,20687
20986,20611
20986,20701
150995,151543
118522,119100
94182,93997
94182,93866
94182,94562
94182,128886
72570,73164
70498,70198
70498,70902
70498,70575
70498,71469
34817,34469
34817,29066
34817,34496
54676,55006
54676,54932
54676,54570
54676,58753
19539,19563
64776,31627
64776,64750
143957,29536
136101,153423
3362,2975
3362,2645
3362,2301
34970,125551
97874,98037
97874,104857
105031,97963
105031,97843
105031,98409
138916,139360
138916,139296
138916,139052
138916,139358
19820,19877
19820,19866
71361,71179
103703,103940
9222,9156
63369,64008
32583,33140
133727,133936
133727,121351
135767,135097
135767,108450
5034,6854
35728,36439
74272,88681
148439,148499
148439,43817
148439,149037
148439,45096
148439,44595
100372,100365
100372,99241
44974,44024
155235,24834
78768,78823
78768,75248
18715,19044
18715,18144
18715,18454
7392,5536
7392,6380
7392,7424
7392,6353
7392,7449
144834,144655
146059,146297
137834,137935
137834,137873
19295,19201
19295,19425
19295,19649
19295,16546
19295,19498
19295,19032
19295,19356
19295,19439
43986,44373
43986,44836
43986,148381
43986,45530
151110,142616
151110,151577
151110,151346
151110,150933
66479,65615
66479,66508
66479,64415
66479,66027
66479,66645
66479,66547
75762,75019
75762,75369
69914,11973
69914,69553
69914,68151
69914,69551
69914,11712
69914,70015
69914,70161
69914,2212
153719,153797
153719,153687
153719,153587
124639,124450
124639,124439
124639,124608
58702,58620
58702,59236
27682,27705
27682,113478
58812,59392
58812,67629
23591,155349
23591,154988
133508,132597
133508,132895
10888,10668
10888,10790
10888,11096
10888,9975
109790,109961
109790,109738
109790,109551
109790,101865
93018,92684
93018,92954
63947,56166
63947,63158
63947,63025
63947,64228
122732,123150
122732,122931
122732,122915
7428,6484
7428,8803
7428,7209
13912,10966
13912,13989
107738,126610
107738,101726
109149,109340
109149,114533
65731,65723
65731,65366
65731,65675
65731,65468
65731,65707
65731,66026
31330,53115
34779,34978
34779,34592
74042,74099
74042,73934
50668,50509
50668,50693
50668,31992
50668,50950
50668,50941
50668,50156
50313,50449
50313,50103
50313,50304
152055,152419
152055,152359
152055,152688
152055,152934
95934,95050
76991,76531
14748,15122
14748,15059
61303,61507
61303,70456
61303,60382
116756,116997
20671,20627
20671,20837
20671,20650
132351,139656
132351,133265
75385,74820
75385,76897
87125,86908
126960,127199
126960,126883
62408,62250
62408,65842
16803,16795
16803,16587
16803,16413
16803,16829
82312,72937
96743,97139
96743,95065
129179,128602
137354,145051
21591,21391
17029,18157
68815,68839
68815,68386
23550,23307
23550,22623
23550,24125
23550,23111
23550,22506
23550,22588
23550,22444
23550,22191
55582,55390
55582,55457
55582,57086
84849,45
84849,46757
84849,83804
10471,10168
65888,61964
65888,66588
65888,66570
30880,30332
132700,132456
110423,110117
110423,110240
12496,13199
29845,29784
150399,150551
150399,150591
74656,74539
74656,74476
74656,151810
83915,84466
83915,84669
83915,81921
83915,81927
83915,84785
7304,7528
61755,71839
61755,61693
153704,152895
153704,153750
153704,152714
61660,60329
61660,60846
61660,61737
61660,60681
104489,104149
63077,82176
63077,64110
63077,63271
63077,64160
79473,79202
101358,118398
101358,119848
101358,118073
101358,117866
133609,133791
133609,133905
106244,104368
106244,116174
69638,69944
69638,2994
69638,70041
144720,144830
144720,144437
144720,144936
144720,144451
144720,144455
21071,20993
21071,21065
21071,20676
26325,26948
26325,48538
14645,15056
14645,14612
14645,12439
8696,8107
127576,127389
127576,121286
26335,25732
26335,26115
10151,10462
10151,17677
10151,10674
87981,87592
87981,88019
87981,88045
18280,17148
18280,17266
121646,122167
121646,117118
121646,121913
121646,121851
121646,122058
98394,97956
98394,147177
76651,75056
76651,76252
151415,151582
151415,151109
151415,151252
101738,101523
59774,952
59774,59560
59774,67876
59774,59551
91052,90291
7838,8273
7838,7818
7838,45287
7838,8448
7838,7974
7838,9159
104082,103899
104082,102733
39088,38369
39088,38595
39088,36265
39088,36104
39088,38287
39088,37377
39088,39086
68198,68186
68198,83759
68198,68836
122032,121723
122032,110494
122032,116953
50092,50226
26520,9470
26520,25768
26520,149331
135496,135301
135496,131269
92181,92457
131555,130931
131555,130977
131555,131269
131555,131371
131555,131140
131555,131369
131555,130900
72265,72843
72265,72032
72265,72254
93940,94549
93940,91994
93940,94526
154119,89953
154119,147750
154119,154008
154119,147603
85924,86269
85924,85976
85924,86372
55838,55723
55838,55810
55838,56997
55838,57018
141418,150123
141418,142502
85256,85521
118085,117895
118085,117940
17155,17986
95295,95092
95295,95941
95295,95012
95295,95246
95295,95393
78159,78181
91305,91203
84299,84316
84299,81290
84299,84693
84299,84573
84299,84685
6662,6758
6662,6571
127511,129300
127511,127763
127511,128023
102576,102461
102576,102956
102576,103180
114759,114615
114759,114704
152061,152372
152061,152629
152061,152461
152061,29248
152061,152965
152061,152591
152061,152295
26195,36631
26195,148203
26195,25171
26195,25655
26195,25765
36947,35716
124401,124698
123418,109033
12716,12766
12716,12102
12716,12038
12716,12456
54678,54837
101764,101908
33309,33675
13788,14249
6904,14427
6904,7261
6904,6818
6904,3368
6904,7376
6904,7364
6904,3912
50384,50052
82696,82667
82696,82320
82696,83022
56027,61848
56027,56426
56027,61869
56027,55846
63793,63251
63793,77956
63793,64085
63793,82959
46374,46459
78483,78290
49349,58526
49349,48427
49349,49168
53314,53592
53314,53111
31397,31678
20174,20490
20174,20365
31346,31981
31346,31660
150209,150434
127500,127705
127500,128888
127500,127940
5252,6294
5252,45699
143388,142922
119882,120545
119882,120156
119882,120078
119882,120120
15669,15494
59879,59551
59879,59776
59879,39
59879,59615
59879,59678
59879,59874
151547,151239
34155,34228
10672,10089
10672,7886
10672,10851
10672,11050
112383,112546
130007,130818
130007,130211
130007,130240
15004,9594
15004,14462
15004,15178
25485,48027
32344,32487
32344,33016
32344,32715
32344,27423
134365,134277
134365,121050
86242,85937
86242,85969
26734,26571
114834,109745
131894,132202
131894,132050
112046,112033
112046,111447
143132,136891
143132,142985
143132,142897
143132,137207
57312,57130
57312,57680
57312,57103
57312,57897
71556,71094
70862,70896
70862,71046
70862,70853
70862,70796
131965,130169
131965,130264
19637,20734
19637,20602
19637,19605
19637,19444
19637,19218
19637,19309
56999,63598
56999,56848
115218,100858
115218,114855
115218,114380
115218,108698
115218,102012
115218,116994
99361,100013
99361,99109
99361,99758
99361,101115
130597,130778
130597,130292
145948,146338
145948,147093
145948,146695
145948,146091
50305,50447
50305,50750
20350,17729
31107,30825
120265,117411
108998,108458
54705,64946
34287,33907
34287,34389
34287,27081
34287,32394
34287,34147
34287,34318
35230,28180
35230,35128
93802,94337
93802,94100
1033,1060
1033,1103
1033,126
122924,110740
122924,111012
12079,12268
12079,12149
12079,12267
106350,107108
106350,106024
133993,133957
133993,134177
133993,134860
73967,73133
73967,72967
73967,72805
81531,81534
154897,22220
154897,155123
154897,22261
131764,131758
52500,52954
141928,141716
141928,141416
141928,142731
134747,135074
36255,37377
36255,37487
42941,140029
42941,130133
53858,54446
50383,50669
50383,50229
50383,50410
19790,19936
139486,139334
14519,12204
14519,15586
14519,5566
14519,12130
19363,19172
19363,19569
19363,19317
19363,19345
54044,65419
54044,65487
54044,62215
59623,1085
59623,59546
125707,125734
125707,125374
125707,123704
140912,142033
140912,142608
140912,141002
140912,85383
77051,77217
77051,67354
77051,77123
126415,126041
108468,108513
108468,107941
108468,107778
63098,62936
135626,135200
135626,135791
135626,135279
135626,135534
135626,135647
135626,135845
135626,135579
135626,143581
135626,143627
105943,106470
105943,106828
79244,80020
141396,140549
24327,24819
24327,105470
24327,24496
143063,142826
82720,84535
82720,82328
65669,65602
65669,65292
65669,62465
65669,65724
140138,140085
144364,144474
144364,144620
144364,144434
144364,144616
144364,144658
144364,144585
127817,127854
127817,129411
128844,129092
128844,129141
4570,4860
4570,4295
4570,4116
4570,4511
4570,3998
4570,4329
80059,79820
80059,88476
154198,154081
154198,153857
154198,90839
154198,154519
154198,154025
154198,91141
154198,90306
154198,147641
154198,153902
32373,32322
32373,28600
32373,32183
32373,32552
94626,93983
94626,92787
94626,94625
94626,94061
146529,146079
17883,18059
94996,95434
94996,95458
114020,113271
114020,113873
128389,128331
128389,128174
128389,133738
128389,128124
128389,133851
68297,82936
68297,69815
151622,153699
151622,152865
51338,53341
61450,61212
81156,81208
81156,81027
19633,19063
19633,19562
136616,136835
136616,74649
140782,140245
112147,117933
112147,112393
112147,112590
82993,82431
82993,83197
82993,83247
64533,64797
36930,36304
36930,36969
36930,26865
36930,37750
34045,34423
125104,125830
125104,125372
99480,99165
99480,99603
98218,97791
98218,98746
98218,98156
98218,98860
98218,98022
98218,98818
98218,97750
52231,40784
896,1066
58443,58181
2469,69090
128723,129288
128723,128779
128723,129445
80853,80667
80853,80704
80853,80768
122119,116525
54660,54644
122615,124837
122615,124554
13207,13698
139675,139677
75571,75955
75571,75779
75571,76616
75571,75277
75571,75491
75571,76764
93782,93877
93782,94006
148562,149476
37227,37144
114563,126982
47417,47895
26129,26254
26129,4281
26129,25415
26129,25535
26129,36197
26129,3502
63424,64127
63424,63237
137448,137559
137448,137626
137448,137576
137448,137219
41956,42153
41956,41945
65675,65540
65675,65647
65675,65600
65675,64363
39561,38559
39561,40377
39561,39802
1,59800
1,249
1,59723
146987,146874
146987,146494
146987,145781
115693,115748
115693,115883
115693,115862
115693,116764
115693,116796
115693,115712
54977,55453
54977,62058
54977,59261
54977,76642
122679,123119
122679,123087
144934,152600
144934,144285
122697,122735
122697,124627
119525,118630
119525,119373
15720,15325
15720,15489
15720,15792
15720,15817
94185,91671
94185,94772
98091,112016
35835,27097
35835,32762
35835,27262
100842,100949
100842,109035
100842,100037
100842,99588
100842,99091
90881,90687
90881,90839
90881,90878
16728,16295
16728,16898
103329,121700
42825,43559
42825,43053
88625,88863
88625,88767
88625,88884
92184,92823
43966,45023
43966,44707
43966,45762
43966,44527
43966,45674
43966,44654
43966,44975
43966,44175
43966,45296
43966,44154
112763,112832
112763,112917
141433,142099
145197,152924
145197,145229
69832,70143
69832,69587
69832,2858
69832,11872
142833,142845
142833,137114
142833,143398
142833,137022
16722,16327
16722,16484
5853,5516
5853,5858
5853,46618
58215,49845
13371,13344
13371,13183
13371,13241
1560,84016
1560,1526
1560,822
94346,134567
58315,58517
58315,58401
58315,58503
58315,58155
58171,58316
26432,25617
26432,26395
26432,25269
26432,25125
26432,26371
26432,26412
52434,52445
52434,52996
52434,52883
12748,12630
12748,12498
9709,8971
9709,8050
9709,9401
9709,9137
9709,7586
12890,12478
37366,36354
103493,110411
19298,19528
19298,19703
31329,31840
31329,54748
31329,31644
31329,31602
108034,108371
24884,22339
24884,23371
24884,23120
64717,64828
64717,64431
64717,64609
53654,53976
53654,54135
53654,53878
53654,53983
53654,54293
110044,109512
21935,22074
19369,18473
19369,19236
83408,81270
14077,20256
14077,13884
14077,17784
122749,125261
141942,40598
152743,152450
25071,26579
25071,45064
25071,25131
120003,116809
120003,103511
120003,103441
120003,120535
56904,56117
56904,56741
143072,136233
143072,143028
154134,154092
154134,154073
125341,125674
21793,21921
18832,18998
18832,16434
149156,148320
149156,148794
91986,91609
91986,79383
20281,20336
20281,20088
69011,1588
69011,68424
69011,68941
153073,153326
153073,153270
78502,78486
78502,78580
78502,78517
78502,55154
107029,105586
6020,5351
6020,5766
154862,154219
96436,95306
96436,96296
96436,96613
133567,132748
133567,132652
12327,12290
104742,104706
47960,48824
47960,25649
47960,47017
47960,25693
35794,37041
35794,36954
35794,39101
123678,125035
123678,123643
84153,84577
84153,82094
120261,120309
120261,120221
120261,120268
27208,98063
27208,33206
100493,93020
37441,49270
13624,13284
124263,124108
68499,68615
68499,68829
68499,69397
68499,68523
68499,68261
68499,68313
141059,148941
141059,141988
6522,14904
6522,6834
91227,88757
91227,92578
135199,135283
135199,135527
135199,29189
2126,3355
2126,2687
2126,2058
2126,2292
2126,3205
2126,2799
2126,2238
37160,37551
37160,36802
29524,29811
29524,29383
29524,29153
62461,62271
119172,118450
94630,94358
94630,94755
94630,94336
13473,13025
13473,14399
13473,10425
22821,24006
22821,23488
22821,23673
22821,22802
40418,39819
125922,126435
122093,109157
122093,121656
122093,115033
122093,109305
34986,34681
34986,34479
34986,28132
108981,108938
125576,125244
136279,74366
136279,136521
39272,39306
39272,39526
39272,39535
125013,125313
125013,131395
125013,124808
125013,131579
18502,18391
18502,18385
18502,18451
6722,9173
6722,2566
6722,7332
6722,8778
6722,6916
6722,9609
6722,9898
90266,147454
117778,117536
101522,126577
140141,140595
140141,140402
151358,151521
151358,151232
151358,39492
105429,97681
72485,72916
72485,72530
72485,51865
72485,73045
86178,86249
86178,86468
86178,86075
39568,40233
39568,39865
39568,150970
5338,5382
5338,6094
84022,84475
84022,46142
84022,84474
9945,10733
45519,44518
72370,70771
47245,48456
47245,48882
47245,47848
98538,97260
98538,97735
8939,9713
45017,45774
45017,44250
25769,25912
25769,25324
25769,26508
25769,25558
41794,41671
41794,41585
42894,43609
42894,42981
42894,43503
118634,118472
118634,118788
100671,100601
48259,48228
48259,48714
22749,155299
22749,22209
146344,147127
146344,145670
102539,103036
102539,102699
92257,93330
92257,92214
92257,92581
92257,92640
11769,11924
11769,11643
11769,11715
7491,6340
7491,5538
43329,43273
43329,43350
43329,43334
32478,32495
44771,44489
26838,26622
61093,50160
61093,60935
61093,61353
61093,61006
91578,91694
60540,60596
60540,60061
60540,59967
18171,14373
7560,8038
7560,10848
7560,7826
7560,8240
7560,8048
7560,8334
70884,70724
70884,71092
70884,70760
51805,51233
51805,51889
51805,51581
51805,51391
85580,83525
91505,129095
91505,93831
17496,17377
17496,14319
17496,18095
12076,12565
12076,12506
12076,12027
139670,43489
29535,29700
29535,29550
29535,29710
54353,66724
32454,32691
32454,32458
32454,33374
32454,33324
97472,96304
121467,121517
113625,113931
113625,113345
113625,113286
37790,37898
37790,38217
111283,111193
111283,112048
111283,111728
142047,140675
142047,141845
150271,150851
105345,95149
41977,41834
70509,70955
70509,70651
53557,53290
53557,54160
53557,53348
53557,53501
19871,20775
19871,21544
19871,20818
1765,1562
1765,1200
147449,153948
147449,147387
97073,96100
97073,95404
97073,95257
97073,95331
130205,130458
130205,130262
130205,130865
105551,105723
105551,106592
105551,106416
105551,24562
74244,74375
74244,74235
143944,144246
143944,144141
131270,131151
112651,110714
4744,3984
4744,4631
77272,81839
77272,81585
2768,69525
2768,2486
2768,2237
2768,2268
2768,2222
2768,2828
2768,3254
42013,42233
42013,40857
57659,57648
110945,110969
110945,110709
110945,110625
124257,124272
124257,123854
128096,127560
128096,133774
73041,74030
99017,98689
99017,95072
99017,97767
24452,24892
116303,115994
2240,69614
2240,2076
2240,2489
2240,69971
76032,78665
76032,76497
76032,76247
76032,75913
76032,76771
42737,42347
42737,42613
52413,52111
52413,52261
52413,52910
52413,31731
141732,131220
93240,132487
93240,80828
44108,43728
44108,44769
44108,45448
44108,44116
110924,110838
152982,152137
77562,77856
84301,84501
84301,84820
84301,84050
129791,110510
57644,57045
57644,57418
57644,57555
57644,57434
127601,127637
57868,55257
57868,57244
72278,72027
72278,71765
72278,71730
72278,71626
72278,71955
144277,30740
144277,29191
144277,30236
144417,144435
130158,124889
155614,155293
155614,155406
155614,155341
155614,155164
155614,22367
4684,3543
4684,4935
142224,142036
149244,149343
149244,46601
149244,148925
28216,34543
28216,28856
28216,35392
28216,28938
117013,115898
124735,124436
7641,15509
134426,134342
134426,134420
134426,134680
134426,134539
13103,2546
13103,13730
86403,86097
116271,120567
116271,105813
116271,119948
35341,35096
59898,59791
59898,59815
59898,59545
118060,117919
118060,118087
137224,137381
91413,91241
105978,104496
105978,105595
105978,106758
143801,29847
149563,149318
149563,149074
149563,272
67447,77039
69114,3860
69114,3706
69114,68398
69114,68302
138094,138322
58588,59345
58588,58709
58588,59455
109874,109644
109874,109633
419,466
419,155
83981,84323
83981,149936
83981,84487
83981,87582
83981,84328
82043,81251
82043,81816
82043,83892
68777,289
86556,86448
86556,86193
115311,115348
115311,115318
17822,17185
17822,17526
58529,57998
50557,50392
87507,87554
111511,111459
111511,111483
111511,112203
97101,96068
67920,68253
146654,146187
146654,147108
146654,146715
146654,146686
146654,98650
86053,86328
59270,58986
59270,58794
108577,108151
23913,154495
23913,23577
23913,23815
43670,45625
109188,109062
81832,82155
83742,84554
83742,81565
149323,148763
28636,28367
28636,37921
28636,28108
28636,37982
28636,28366
101341,101224
101341,101778
18884,18874
75462,76325
75462,59502
8803,7449
8803,2962
8803,15358
8803,8978
8803,7546
8803,9111
8803,9544
112896,105022
136600,136373
136600,74580
136600,136848
136600,136385
136600,136621
102490,115843
85824,60616
85824,85478
85824,85263
85824,86148
85652,85570
85652,87018
85652,93037
138381,137832
138381,138416
93559,81068
93559,92560
93559,92857
54356,53708
54356,54404
85391,86905
85391,87233
42873,43411
42873,37881
50719,50248
88281,87959
94693,94216
94693,94395
94693,93883
94693,94353
31630,31322
97654,119959
112546,112817
112546,112410
112546,112810
78713,78562
151229,151105
151229,151466
151229,141544
98064,98086
98064,98332
96161,22202
96161,23303
96161,89932
96161,97304
125903,125110
119607,118383
3337,2291
3337,2176
3337,2689
134790,134242
134790,134335
134790,91933
134790,134623
56624,57045
56624,56993
56624,56506
71531,70759
71531,71691
71531,71132
71531,71254
71531,71808
125682,125221
125682,124913
111775,34762
94902,95516
94902,95420
94902,95942
12078,13134
12078,13727
108324,108046
108324,107608
108324,108049
108324,107554
108324,129024
108324,108439
108324,128695
108324,128834
108324,108131
114415,114612
114415,114457
115174,109357
53381,53456
53381,52400
29882,30622
101461,101928
101461,109876
101461,101852
101461,101668
1354,1966
1354,1708
63514,63957
63514,63876
63514,64259
63514,63206
63514,64067
52524,52625
52524,52282
52524,52623
64506,64942
103380,120230
103380,103235
103380,103224
130221,130649
130221,130099
130221,131923
42621,42463
42621,63743
42621,42590
44356,8675
44356,150306
45601,44997
89359,89842
42005,42045
42005,40804
42005,41925
42005,50594
54171,54176
54171,53796
150722,38528
150722,38871
150722,151353
6463,15567
6463,6721
69865,70039
69865,70054
69865,69804
110139,110612
110139,110429
146947,96706
146947,147166
129895,130848
129895,130460
149130,149056
149130,149534
149130,149596
149130,148837
149130,148519
149130,149387
149130,148891
59097,58954
103177,103298
103177,103179
15383,15744
109959,101664
109959,109747
109959,109850
109959,109580
78325,78529
78325,78818
78325,78510
78325,58732
78325,78582
78325,78840
33207,32459
33207,32720
98055,98573
98055,98627
98055,146076
98055,98231
98055,97188
133798,133847
133798,133717
133798,133926
133798,128191
76313,75646
114704,114758
114704,109123
44647,44006
44647,44344
94599,94827
94599,93975
127774,127866
127774,127981
127774,127811
127774,127653
127774,127814
127774,144470
8636,8648
8636,15589
50195,50122
105836,106887
105836,116183
105836,103633
105836,107386
105836,106987
96340,154283
96340,96459
96340,96526
96340,23946
23826,23286
122045,121625
122045,121918
122045,122063
122045,116667
68397,68172
68397,68382
68397,68957
68397,4540
68397,68648
6372,6781
14771,15036
113744,113746
113744,113759
113744,113550
36958,37054
36958,36719
36958,37378
36958,28123
19074,19220
105439,105219
105439,104343
98904,98561
98904,97553
97398,96501
97398,96177
97398,98587
97398,146831
113582,114042
113582,114162
80396,80179
80396,80430
80396,60678
83178,83217
83178,63945
83178,72136
120297,117740
120297,119938
120297,117370
27878,27154
101152,131400
101152,100886
67254,77130
67254,67564
13619,13041
117516,117526
117516,113255
117516,117363
117516,117549
117516,113834
117601,117603
118581,118841
118581,118982
118581,118754
118581,119430
89814,89354
89814,89286
89814,89633
11153,11127
11153,11178
11153,20410
11153,11234
11153,9981
11153,10850
11153,11248
11153,11568
11153,11173
100877,131003
100877,100757
92516,93088
92516,92408
92516,92301
128692,99396
4688,3915
4688,4172
4688,2536
98147,98502
98147,96723
13739,12690
78612,78818
78612,78490
78612,59450
82211,82292
149795,26519
52109,52234
52109,50926
52109,50914
52109,50404
52109,52347
52109,52378
52109,52202
79290,79872
79290,79125
79290,79795
79290,79943
106033,104191
10041,10125
24488,106004
24488,94927
24488,106127
109950,109795
109950,109997
96412,96379
96412,97444
96412,96464
18921,18959
18921,19756
88845,91351
88845,91988
88845,88918
88845,88714
88845,88558
88845,88894
88845,88479
77883,77572
77883,77973
77883,77953
656,84636
1626,1254
1626,1281
1626,3981
1626,1618
1626,1395
1626,1223
92337,93152
92337,92207
129293,129148
43794,45045
43794,149324
82777,83543
10664,11249
10664,8480
10664,11553
10664,10845
34456,34704
78411,78660
78411,78784
78411,76190
78411,76758
78411,78572
78411,78641
27906,28099
27906,36224
48861,47302
48861,48984
49624,49783
49624,49394
49624,58190
49624,49449
49624,49350
49624,49154
49624,49104
49624,49736
143432,143261
143432,143473
14389,14165
14389,13115
52373,52619
52373,52161
52373,52455
52373,52356
2695,2734
2695,2468
2695,3125
2695,2098
125953,126524
125953,114537
125953,114857
125953,125989
116071,117096
116071,117345
53584,53394
53584,53243
98587,98322
98587,98221
98587,97444
98587,105506
98587,97802
98587,98811
98587,98219
98587,97742
98587,96920
1097,59919
1097,58
1097,1032
117090,103537
117090,121670
117090,103046
108866,108852
148558,149191
148558,149382
99871,129154
99871,99227
149732,46153
149732,46536
106519,103959
140765,140837
139376,139536
139376,139447
139376,139184
120090,120278
120090,120382
99725,99346
99725,128474
99725,129344
99725,99571
99725,99148
121142,120773
22116,21966
22116,22017
22116,21874
22116,22117
22116,21816
22116,21951
22116,21127
22116,21809
22116,22068
115409,121086
115409,115121
115409,115238
109946,126629
109946,114718
57084,57527
57084,57327
71814,72259
71814,71693
72652,72372
72652,72714
72652,72597
53554,53110
53554,53953
53554,52797
53554,53513
137720,145501
137720,137771
137720,137443
137720,137431
137720,137342
154044,147235
154044,154088
80134,61429
80134,80385
80134,80498
102664,102961
102664,103260
102664,120107
12081,12858
12081,12965
12081,16071
12081,16104
12081,12240
12081,12825
84545,84846
30331,30962
30331,30271
30331,30297
30331,30300
30331,31047
30331,30416
153964,153888
153964,153978
153964,89540
141151,39589
141151,140909
141151,142698
141151,142575
141093,141167
12710,12609
12710,2702
12710,14517
12710,14532
74848,76701
47130,46912
47130,47589
47130,47892
81552,83739
10583,13876
10583,10081
87948,87773
4023,4017
107584,107766
70564,71986
70564,70338
8789,9234
8789,46165
8789,9182
19549,18792
10601,10573
10601,10904
10601,10315
10601,10390
10601,11364
10601,10097
110891,111966
150905,151589
30228,30204
13660,13285
13660,13090
13660,13529
13660,13262
13660,13708
151635,151832
151635,152007
151635,151736
151635,74699
151635,151754
151635,153343
151635,151809
151635,151973
151635,136834
149995,150423
149995,150005
37891,38057
37891,38221
152350,30652
152350,152222
152350,152139
108799,108784
108799,107965
151282,151255
151282,150815
151282,151496
146264,147115
146264,146255
52424,52894
52424,52864
52424,52609
114647,114823
114647,114364
5875,5107
130269,130049
48478,47345
29027,28481
29027,28724
29027,28630
52239,52816
41893,42181
41893,41979
41893,52782
97049,96394
97049,98533
91437,91463
91437,91178
91437,91306
36375,36092
36375,36449
58724,58740
58724,59010
58724,58879
82765,63638
82765,63830
82765,82933
85617,85742
44877,8790
44877,45208
