NAICS 1 Code,NAICS 1 Description,1 - 4 employees,5 - 9 employees,10 - 19 employees,20 - 49 employees,50 - 99 employees,100 - 249 employees,250 - 499 employees,500 - 999 employees,"1,000+ employees",s,xi
112990,All Other Animal Production,29314,29314,29314,29314,29314,29314,29314,29314,29314,0.32537319181083546,0.6437723136349858
113110,Timber Tract Operations,1781,1781,1781,1781,1781,1781,1781,1781,1781,0.6671511702646522,0.8933626904768978
113210,Forest Nurseries and Gathering of Forest Products,858,858,858,858,858,858,858,858,858,0.40067502027906665,1.0496935162330427
113310,Logging,5681,5681,5681,5681,5681,5681,5681,5681,5681,2.448372274171561,0.5182469572289841
114111,Finfish Fishing,385,385,385,385,385,385,385,385,385,1.6068664948339584,0.7639294894179327
114112,Shellfish Fishing,345,345,345,345,345,345,345,345,345,1.5552912779618067,0.7393591387546617
114119,Other Marine Fishing,155,155,155,155,155,155,155,155,155,0.5424271543335626,0.8542236360022804
114210,Hunting and Trapping,1947,1947,1947,1947,1947,1947,1947,1947,1947,0.6115929058799565,0.8986301054720568
115111,Cotton Ginning,234,234,234,234,234,234,234,234,234,8.175321808762558,0.1097556152479206
115112,"Soil Preparation, Planting, and Cultivating",3260,3260,3260,3260,3260,3260,3260,3260,3260,1.9281757077405937,0.652130415145075
115113,"Crop Harvesting, Primarily by Machine",1513,1513,1513,1513,1513,1513,1513,1513,1513,1.007550611905754,0.962309892848134
115114,Postharvest Crop Activities (except Cotton Ginning),1066,1066,1066,1066,1066,1066,1066,1066,1066,3.6694119631995905,1.2796867463393076
115115,Farm Labor Contractors and Crew Leaders,424,424,424,424,424,424,424,424,424,0.5985671543152419,1.823990675965614
115116,Farm Management Services,2486,2486,2486,2486,2486,2486,2486,2486,2486,0.8290369637310505,1.0309604095295073
115210,Support Activities for Animal Production,21364,21364,21364,21364,21364,21364,21364,21364,21364,0.12466744123999657,0.8566876028849976
115310,Support Activities for Forestry,4081,4081,4081,4081,4081,4081,4081,4081,4081,1.083576411753893,0.9301535643637178
211120,Crude Petroleum Extraction,3017,3017,3017,3017,3017,3017,3017,3017,3017,2.9987383488327026,1.013822636670608
211130,Natural Gas Extraction,234,234,234,234,234,234,234,234,234,3.6986416820465835,0.9408954646758512
212111,Bituminous Coal and Lignite Surface Mining,187,187,187,187,187,187,187,187,187,6.984492864399377,1.5915982740341865
212112,Bituminous Coal Underground Mining,39,39,39,39,39,39,39,39,39,10.877456159157589,1.660241955853176
212113,Anthracite Mining,25,25,25,25,25,25,25,25,25,6.045176336587156,0.6105527068542439
212210,Iron Ore Mining,55,55,55,55,55,55,55,55,55,0.8853182633378327,2.6388515158236263
212221,Gold Ore Mining,203,203,203,203,203,203,203,203,203,1.9330928743758728,1.7981969787098948
212222,Silver Ore Mining,18,18,18,18,18,18,18,18,18,3.616919802085614,1.587131969895573
212230,"Copper, Nickel, Lead, and Zinc Mining",53,53,53,53,53,53,53,53,53,5.612213214358432,2.3759456923507116
212291,Uranium-Radium-Vanadium Ore Mining,17,17,17,17,17,17,17,17,17,9.096804192597677,0.8511482812711504
212299,All Other Metal Ore Mining,31,31,31,31,31,31,31,31,31,0.5605095368693632,3.5336114754551105
212311,Dimension Stone Mining and Quarrying,204,204,204,204,204,204,204,204,204,6.6617344511357635,0.6061229848870047
212312,Crushed and Broken Limestone Mining and Quarrying,303,303,303,303,303,303,303,303,303,12.418596876184296,0.43676082094537927
212313,Crushed and Broken Granite Mining and Quarrying,94,94,94,94,94,94,94,94,94,6.641928543402479,0.5965359867727877
212319,Other Crushed and Broken Stone Mining and Quarrying,199,199,199,199,199,199,199,199,199,5.264601106182033,0.7545274784377952
212321,Construction Sand and Gravel Mining,1424,1424,1424,1424,1424,1424,1424,1424,1424,3.7611009908923267,0.7474727329791273
212322,Industrial Sand Mining,95,95,95,95,95,95,95,95,95,7.690514288347101,0.810722759426217
212324,Kaolin and Ball Clay Mining,13,13,13,13,13,13,13,13,13,18.71456025995871,0.8669261824651798
212325,Clay and Ceramic and Refractory Minerals Mining,55,55,55,55,55,55,55,55,55,5.140596398587176,0.9690072043851752
212391,"Potash, Soda, and Borate Mineral Mining",11,11,11,11,11,11,11,11,11,9.630183423508432,2.17246198424837
212392,Phosphate Rock Mining,12,12,12,12,12,12,12,12,12,0.061770413815679985,3.368714134712014
212393,Other Chemical and Fertilizer Mineral Mining,54,54,54,54,54,54,54,54,54,3.888681931199928,1.563129525281937
212399,All Other Nonmetallic Mineral Mining,139,139,139,139,139,139,139,139,139,4.740416011920387,0.88867819994107
213111,Drilling Oil and Gas Wells,1348,1348,1348,1348,1348,1348,1348,1348,1348,2.5437868382963877,1.33009491174114
213112,Support Activities for Oil and Gas Operations,9082,9082,9082,9082,9082,9082,9082,9082,9082,3.0315789152518864,1.055667636066211
213113,Support Activities for Coal Mining,206,206,206,206,206,206,206,206,206,5.642129335204151,1.3060483643048553
213114,Support Activities for Metal Mining,231,231,231,231,231,231,231,231,231,2.1905708742785013,1.3119579843732483
213115,Support Activities for Nonmetallic Minerals (except Fuels) Mining,105,105,105,105,105,105,105,105,105,2.371194433398183,1.399981945960926
221111,Hydroelectric Power Generation,53,53,53,53,53,53,53,53,53,1.078963703662159,2.4973373435437685
221112,Fossil Fuel Electric Power Generation,36,36,36,36,36,36,36,36,36,24.887581461179877,1.2998484552671907
221113,Nuclear Electric Power Generation,8,8,8,8,8,8,8,8,8,13.41766804351017,4.753201043470508
221114,Solar Electric Power Generation,619,619,619,619,619,619,619,619,619,1.0431978029198945,1.0127308415248988
221115,Wind Electric Power Generation,200,200,200,200,200,200,200,200,200,1.6107837315648799,0.8627963301725681
221116,Geothermal Electric Power Generation,47,47,47,47,47,47,47,47,47,4.861194593525601,0.35370320146910694
221117,Biomass Electric Power Generation,69,69,69,69,69,69,69,69,69,3.624845960133962,0.4207796492894462
221118,Other Electric Power Generation,9839,9839,9839,9839,9839,9839,9839,9839,9839,2.666955266775404,1.0763559589973775
221121,Electric Bulk Power Transmission and Control,64,64,64,64,64,64,64,64,64,21.363667740135377,0.6911862599867814
221122,Electric Power Distribution,674,674,674,674,674,674,674,674,674,18.750864622083935,0.6203372670198295
221210,Natural Gas Distribution,1436,1436,1436,1436,1436,1436,1436,1436,1436,6.142069264657138,0.9921365704311031
221310,Water Supply and Irrigation Systems,9944,9944,9944,9944,9944,9944,9944,9944,9944,2.6222950654887818,0.850413294948984
221320,Sewage Treatment Facilities,1041,1041,1041,1041,1041,1041,1041,1041,1041,4.790183511481648,0.8136647152459506
221330,Steam and Air-Conditioning Supply,235,235,235,235,235,235,235,235,235,1.984659199435555,1.0116821720715987
236115,New Single-Family Housing Construction (except For-Sale Builders),332504,332504,332504,332504,332504,332504,332504,332504,332504,0.4476357869206673,0.7077061256491155
236116,New Multifamily Housing Construction (except For-Sale Builders),24043,24043,24043,24043,24043,24043,24043,24043,24043,1.3363364099801398,0.7448144615336785
236117,New Housing For-Sale Builders,5400,5400,5400,5400,5400,5400,5400,5400,5400,1.1801086619496348,1.0274231702089311
236118,Residential Remodelers,89654,89654,89654,89654,89654,89654,89654,89654,89654,0.6949397946533287,0.6749940871377471
236210,Industrial Building Construction,4183,4183,4183,4183,4183,4183,4183,4183,4183,3.74182067250986,1.0168272077786271
236220,Commercial and Institutional Building Construction,29882,29882,29882,29882,29882,29882,29882,29882,29882,3.919642987918751,0.8260379024214031
237110,Water and Sewer Line and Related Structures Construction,9517,9517,9517,9517,9517,9517,9517,9517,9517,3.55045659352068,0.8803881126489536
237120,Oil and Gas Pipeline and Related Structures Construction,1342,1342,1342,1342,1342,1342,1342,1342,1342,3.7649122166340336,1.2595005185082127
237130,Power and Communication Line and Related Structures Construction,940,940,940,940,940,940,940,940,940,8.29412961955404,0.7140327586076454
237210,Land Subdivision,28571,28571,28571,28571,28571,28571,28571,28571,28571,1.0125107729807494,0.8979497764259576
237310,"Highway, Street, and Bridge Construction",15778,15778,15778,15778,15778,15778,15778,15778,15778,3.0659431767625476,1.0435992134812646
237990,Other Heavy and Civil Engineering Construction,4785,4785,4785,4785,4785,4785,4785,4785,4785,2.2975132934865563,1.1174602658837136
238110,Poured Concrete Foundation and Structure Contractors,25504,25504,25504,25504,25504,25504,25504,25504,25504,1.937215179140912,0.7548445355088925
238120,Structural Steel and Precast Concrete Contractors,1145,1145,1145,1145,1145,1145,1145,1145,1145,5.922058808768923,0.7577062665544494
238130,Framing Contractors,38298,38298,38298,38298,38298,38298,38298,38298,38298,0.4630138965760122,0.8680475867469793
238140,Masonry Contractors,16479,16479,16479,16479,16479,16479,16479,16479,16479,1.767675485253494,0.807346980684452
238150,Glass and Glazing Contractors,4357,4357,4357,4357,4357,4357,4357,4357,4357,3.0635009327777425,0.6313870625265309
238160,Roofing Contractors,35673,35673,35673,35673,35673,35673,35673,35673,35673,1.1349862016737464,0.9195236898958684
238170,Siding Contractors,3725,3725,3725,3725,3725,3725,3725,3725,3725,1.0616085860878233,0.7615631122142074
238190,"Other Foundation, Structure, and Building Exterior Contractors",1548,1548,1548,1548,1548,1548,1548,1548,1548,1.6635485749196979,1.1396579220338028
238210,Electrical Contractors and Other Wiring Installation Contractors,87725,87725,87725,87725,87725,87725,87725,87725,87725,1.3694584725424652,0.9496667522471396
238220,"Plumbing, Heating, and Air-Conditioning Contractors",142865,142865,142865,142865,142865,142865,142865,142865,142865,1.34049731688574,0.8375570144271476
238290,Other Building Equipment Contractors,1395,1395,1395,1395,1395,1395,1395,1395,1395,4.303725040342631,0.8096531793275257
238310,Drywall and Insulation Contractors,21751,21751,21751,21751,21751,21751,21751,21751,21751,1.4210859384183991,1.0247955478815136
238320,Painting and Wall Covering Contractors,83724,83724,83724,83724,83724,83724,83724,83724,83724,0.3422787217652796,0.9160886349152237
238330,Flooring Contractors,12084,12084,12084,12084,12084,12084,12084,12084,12084,1.2323113006539639,0.7692721325904129
238340,Tile and Terrazzo Contractors,20276,20276,20276,20276,20276,20276,20276,20276,20276,0.30322306621819684,0.9707959286868574
238350,Finish Carpentry Contractors,9618,9618,9618,9618,9618,9618,9618,9618,9618,1.1340386230265718,0.7848420957569029
238390,Other Building Finishing Contractors,8668,8668,8668,8668,8668,8668,8668,8668,8668,0.953149022161961,0.8648370414972304
238910,Site Preparation Contractors,28920,28920,28920,28920,28920,28920,28920,28920,28920,1.6310781498847071,0.8320498907458382
238990,All Other Specialty Trade Contractors,117699,117699,117699,117699,117699,117699,117699,117699,117699,0.7612843104360312,0.8449844071919866
311111,Dog and Cat Food Manufacturing,224,224,224,224,224,224,224,224,224,3.5130251784431183,1.7360252012269535
311119,Other Animal Food Manufacturing,644,644,644,644,644,644,644,644,644,8.398262760478978,0.6527066547401934
311211,Flour Milling,228,228,228,228,228,228,228,228,228,9.893022002529126,0.9797976499121271
311212,Rice Milling,68,68,68,68,68,68,68,68,68,4.804174888603732,1.679723889263422
311213,Malt Manufacturing,30,30,30,30,30,30,30,30,30,4.462692355494058,0.8472397042144877
311221,Wet Corn Milling,119,119,119,119,119,119,119,119,119,1.7658005203849747,1.9776310396144852
311224,Soybean and Other Oilseed Processing,56,56,56,56,56,56,56,56,56,7.580475116436966,1.3301000389753064
311225,Fats and Oils Refining and Blending,467,467,467,467,467,467,467,467,467,0.8297932406479964,1.554874688497511
311230,Breakfast Cereal Manufacturing,190,190,190,190,190,190,190,190,190,1.9769323913169559,2.7155594779185765
311313,Beet Sugar Manufacturing,16,16,16,16,16,16,16,16,16,24.322591451043127,1.5601135761640426
311314,Cane Sugar Manufacturing,40,40,40,40,40,40,40,40,40,6.889553456917314,1.6622631233100282
311340,Nonchocolate Confectionery Manufacturing,718,718,718,718,718,718,718,718,718,3.249493135308154,1.2838194791169428
311351,Chocolate and Confectionery Manufacturing from Cacao Beans,331,331,331,331,331,331,331,331,331,2.3245178687284374,1.3575294744034176
311352,Confectionery Manufacturing from Purchased Chocolate,204,204,204,204,204,204,204,204,204,2.229316045025284,1.0721678789060225
311411,"Frozen Fruit, Juice, and Vegetable Manufacturing",244,244,244,244,244,244,244,244,244,3.2841051842851465,1.879495067568429
311412,Frozen Specialty Food Manufacturing,237,237,237,237,237,237,237,237,237,6.50205709593388,1.794533773472822
311421,Fruit and Vegetable Canning,1016,1016,1016,1016,1016,1016,1016,1016,1016,1.478029339542994,2.044413081910897
311422,Specialty Canning,315,315,315,315,315,315,315,315,315,2.7693161620579816,1.4159403719632357
311423,Dried and Dehydrated Food Manufacturing,154,154,154,154,154,154,154,154,154,3.6417755512866608,1.7428269264818264
311511,Fluid Milk Manufacturing,201,201,201,201,201,201,201,201,201,9.965226399888117,1.4474348277371198
311512,Creamery Butter Manufacturing,125,125,125,125,125,125,125,125,125,2.25014696931584,1.0850319441020155
311513,Cheese Manufacturing,223,223,223,223,223,223,223,223,223,8.836323697810627,1.5935073038522678
311514,"Dry, Condensed, and Evaporated Dairy Product Manufacturing",479,479,479,479,479,479,479,479,479,3.137599439976053,1.4510992863211518
311520,Ice Cream and Frozen Dessert Manufacturing,737,737,737,737,737,737,737,737,737,3.544321437040341,0.8556859148200647
311611,Animal (except Poultry) Slaughtering,1017,1017,1017,1017,1017,1017,1017,1017,1017,3.404261499951101,1.535849220338433
311612,Meat Processed from Carcasses,583,583,583,583,583,583,583,583,583,5.031583251499816,1.6619368729965793
311613,Rendering and Meat Byproduct Processing,119,119,119,119,119,119,119,119,119,7.920755466330176,0.9845584269098975
311615,Poultry Processing,179,179,179,179,179,179,179,179,179,13.083085568821817,2.9692588846207846
311710,Seafood Product Preparation and Packaging,324,324,324,324,324,324,324,324,324,5.608053625955524,1.4651586731491935
311811,Retail Bakeries,17158,17158,17158,17158,17158,17158,17158,17158,17158,1.3752964579260145,0.6192528478679373
311812,Commercial Bakeries,2368,2368,2368,2368,2368,2368,2368,2368,2368,2.5910199182791995,1.3183202139174697
311813,"Frozen Cakes, Pies, and Other Pastries Manufacturing",117,117,117,117,117,117,117,117,117,3.266343476277714,1.8388088622706174
311821,Cookie and Cracker Manufacturing,330,330,330,330,330,330,330,330,330,3.6126690866212368,1.6766148142411588
311824,"Dry Pasta, Dough, and Flour Mixes Manufacturing from Purchased Flour",298,298,298,298,298,298,298,298,298,3.272471569058588,1.1730126422047433
311830,Tortilla Manufacturing,283,283,283,283,283,283,283,283,283,4.783260540291984,0.8959232491882128
311911,Roasted Nuts and Peanut Butter Manufacturing,112,112,112,112,112,112,112,112,112,4.960014905365147,1.3445338664660065
311919,Other Snack Food Manufacturing,209,209,209,209,209,209,209,209,209,7.004152261579668,1.6395076877209878
311920,Coffee and Tea Manufacturing,531,531,531,531,531,531,531,531,531,3.181643518919738,1.0570159047369105
311930,Flavoring Syrup and Concentrate Manufacturing,135,135,135,135,135,135,135,135,135,4.999490823439241,1.1289374439682267
311941,"Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing",340,340,340,340,340,340,340,340,340,1.7886696443411916,1.6649339765664095
311942,Spice and Extract Manufacturing,881,881,881,881,881,881,881,881,881,1.790416113137009,1.3384966336635915
311991,Perishable Prepared Food Manufacturing,175,175,175,175,175,175,175,175,175,4.042199698568076,1.6777304810113747
311999,All Other Miscellaneous Food Manufacturing,2011,2011,2011,2011,2011,2011,2011,2011,2011,2.780431435036691,1.3325896779528685
312111,Soft Drink Manufacturing,862,862,862,862,862,862,862,862,862,11.051098969691932,1.35491619632772
312112,Bottled Water Manufacturing,290,290,290,290,290,290,290,290,290,2.944384652440223,0.9307242554443109
312113,Ice Manufacturing,227,227,227,227,227,227,227,227,227,7.548002019820673,0.3987752789792548
312120,Breweries,1226,1226,1226,1226,1226,1226,1226,1226,1226,3.411199690335935,1.0179490745998474
312130,Wineries,4978,4978,4978,4978,4978,4978,4978,4978,4978,1.6897116254083824,0.7842301866272462
312140,Distilleries,838,838,838,838,838,838,838,838,838,2.2531810852233325,0.8422574944328532
312230,Tobacco Manufacturing,273,273,273,273,273,273,273,273,273,2.0901708861885755,1.838609583476501
313110,"Fiber, Yarn, and Thread Mills",479,479,479,479,479,479,479,479,479,0.6094770815861938,2.6597206717046005
313210,Broadwoven Fabric Mills,3261,3261,3261,3261,3261,3261,3261,3261,3261,0.6099352820525383,1.5828803775631954
313220,Narrow Fabric Mills and Schiffli Machine Embroidery,209,209,209,209,209,209,209,209,209,4.7287925212647615,1.1895138118549933
313230,Nonwoven Fabric Mills,66,66,66,66,66,66,66,66,66,13.599345507200951,1.1825890939368122
313240,Knit Fabric Mills,95,95,95,95,95,95,95,95,95,4.944134067139485,1.2546650172186238
313310,Textile and Fabric Finishing Mills,602,602,602,602,602,602,602,602,602,3.959574294314235,0.9638062652942176
313320,Fabric Coating Mills,159,159,159,159,159,159,159,159,159,5.337286479464465,1.2841334349728717
314110,Carpet and Rug Mills,601,601,601,601,601,601,601,601,601,1.6967308832085135,1.9047717474473762
314120,Curtain and Linen Mills,993,993,993,993,993,993,993,993,993,2.568790941897134,1.174762800795427
314910,Textile Bag and Canvas Mills,1179,1179,1179,1179,1179,1179,1179,1179,1179,3.3799802144145312,0.8727166240249105
314994,"Rope, Cordage, Twine, Tire Cord, and Tire Fabric Mills",143,143,143,143,143,143,143,143,143,7.530857037576696,0.7995026851066446
314999,All Other Miscellaneous Textile Product Mills,9051,9051,9051,9051,9051,9051,9051,9051,9051,0.7093484450597315,1.0640509819728325
315110,Hosiery and Sock Mills,428,428,428,428,428,428,428,428,428,1.573839405170294,1.4400084053137119
315190,Other Apparel Knitting Mills,505,505,505,505,505,505,505,505,505,1.83006958289258,1.3660519392502355
315210,Cut and Sew Apparel Contractors,192,192,192,192,192,192,192,192,192,3.2871847513808428,1.785429887823773
315220,Men's and Boys's Cut and Sew Apparel Manufacturing,1909,1909,1909,1909,1909,1909,1909,1909,1909,1.880720583208881,1.3633078916291697
315240,"Women's, Girls', and Infants' Cut and Sew Apparel Manufacturing",2445,2445,2445,2445,2445,2445,2445,2445,2445,1.789418015144214,1.3645424206428611
315280,Other Cut and Sew Apparel Manufacturing,636,636,636,636,636,636,636,636,636,2.280026446162214,1.194663217518669
315990,Apparel Accessories and Other Apparel Manufacturing,1966,1966,1966,1966,1966,1966,1966,1966,1966,0.8001246373634794,1.3618678261176684
316110,Leather and Hide Tanning and Finishing,577,577,577,577,577,577,577,577,577,0.8569525096041615,1.186462473979918
316210,Footwear Manufacturing,368,368,368,368,368,368,368,368,368,2.9920842771418434,1.5502462557517076
316992,Women's Handbag and Purse Manufacturing,250,250,250,250,250,250,250,250,250,0.699449390727386,1.3747202467813622
316998,All Other Leather Good and Allied Product Manufacturing,2637,2637,2637,2637,2637,2637,2637,2637,2637,0.6297821175307032,1.1822341497056188
321113,Sawmills,1067,1067,1067,1067,1067,1067,1067,1067,1067,5.761169088542967,1.0871246273450756
321114,Wood Preservation,295,295,295,295,295,295,295,295,295,6.065084716506442,0.8989709168660815
321211,Hardwood Veneer and Plywood Manufacturing,99,99,99,99,99,99,99,99,99,9.20569213250726,1.4842854928156863
321212,Softwood Veneer and Plywood Manufacturing,14,14,14,14,14,14,14,14,14,52.29205202227625,0.5962699405813355
321213,Engineered Wood Member (except Truss) Manufacturing,29,29,29,29,29,29,29,29,29,6.33960549506155,0.8113025385755739
321214,Truss Manufacturing,237,237,237,237,237,237,237,237,237,13.829030456054852,0.6337209897396227
321219,Reconstituted Wood Product Manufacturing,117,117,117,117,117,117,117,117,117,7.037392299487275,1.6237631834354902
321911,Wood Window and Door Manufacturing,593,593,593,593,593,593,593,593,593,5.298250299409155,1.272155453923699
321912,"Cut Stock, Resawing Lumber, and Planing",619,619,619,619,619,619,619,619,619,4.735059667517177,1.0003036517579047
321918,Other Millwork (including Flooring),11832,11832,11832,11832,11832,11832,11832,11832,11832,0.3437571929767722,1.2807929785922174
321920,Wood Container and Pallet Manufacturing,1381,1381,1381,1381,1381,1381,1381,1381,1381,6.448259567545477,0.6782916446904017
321991,Manufactured Home (Mobile Home) Manufacturing,396,396,396,396,396,396,396,396,396,1.766418079286816,1.618201577477157
321992,Prefabricated Wood Building Manufacturing,656,656,656,656,656,656,656,656,656,2.839756093722546,1.1644836884930452
321999,All Other Miscellaneous Wood Product Manufacturing,3505,3505,3505,3505,3505,3505,3505,3505,3505,1.1523596748709681,1.0729358762502668
322110,Pulp Mills,197,197,197,197,197,197,197,197,197,2.61587658077479,1.7185973688960148
322121,Paper (except Newsprint) Mills,964,964,964,964,964,964,964,964,964,2.410869723906587,2.3595017639800044
322122,Newsprint Mills,15,15,15,15,15,15,15,15,15,1.5409044492989827,3.4329911585897213
322130,Paperboard Mills,245,245,245,245,245,245,245,245,245,10.55173777386549,1.511855986869737
322211,Corrugated and Solid Fiber Box Manufacturing,407,407,407,407,407,407,407,407,407,25.753499816903123,0.7339175996507864
322212,Folding Paperboard Box Manufacturing,28,28,28,28,28,28,28,28,28,43.363115372008096,0.5732472774416606
322219,Other Paperboard Container Manufacturing,260,260,260,260,260,260,260,260,260,8.004971884759286,1.0803660007448004
322220,Paper Bag and Coated and Treated Paper Manufacturing,557,557,557,557,557,557,557,557,557,8.735776506700438,1.3888360968783406
322230,Stationery Product Manufacturing,183,183,183,183,183,183,183,183,183,5.094049142254208,1.5590530002543754
322291,Sanitary Paper Product Manufacturing,174,174,174,174,174,174,174,174,174,2.612859753259008,2.352105686584067
322299,All Other Converted Paper Product Manufacturing,455,455,455,455,455,455,455,455,455,8.424538768055186,0.9051635204169204
323111,Commercial Printing (except Screen and Books),29033,29033,29033,29033,29033,29033,29033,29033,29033,2.2696388102602194,0.9359087776858391
323113,Commercial Screen Printing,4949,4949,4949,4949,4949,4949,4949,4949,4949,1.6479344064417112,0.7925967626713837
323117,Books Printing,243,243,243,243,243,243,243,243,243,1.7167426016181726,1.6316350727342068
323120,Support Activities for Printing,959,959,959,959,959,959,959,959,959,3.5631946227972557,0.9904086446319534
324110,Petroleum Refineries,837,837,837,837,837,837,837,837,837,3.144761820351783,1.504635419166525
324121,Asphalt Paving Mixture and Block Manufacturing,666,666,666,666,666,666,666,666,666,4.75297710913574,0.789187242729989
324122,Asphalt Shingle and Coating Materials Manufacturing,317,317,317,317,317,317,317,317,317,3.339297295279594,1.196615123708963
324191,Petroleum Lubricating Oil and Grease Manufacturing,312,312,312,312,312,312,312,312,312,5.381966706898806,0.9085819920250768
324199,All Other Petroleum and Coal Products Manufacturing,97,97,97,97,97,97,97,97,97,2.1548762705074207,1.5372505162940475
325110,Petrochemical Manufacturing,1022,1022,1022,1022,1022,1022,1022,1022,1022,2.4107030932587787,0.6502320372819688
325120,Industrial Gas Manufacturing,713,713,713,713,713,713,713,713,713,4.100095372805668,1.0356325885033604
