X,Y,OBJECTID,ID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,TOT_RES,TOT_STAFF,BEDS,EXCESS_BED,OWNERSHIP,MEDICAIDID,MEDICAREID,STATE_LIC,SOURCETYPE
-87.23258985,30.44360361,8552,121247,ROSEWOOD HEALTHCARE AND REHABILITATION CENTER,3107 NORTH H STREET,PENSACOLA,FL,32501,1043,(850) 435-8400,NURSING HOME,OPEN,155,ESCAMBIA,12033,USA,30.44360361,-87.23258985,623110,NURSING CARE FACILITIES (SKILLED NURSING FACILITIES),http://www.floridahealthfinder.gov/facilitylocator/facilitysearch.aspx,2017-11-14T00:00:00Z,IMAGERY/OTHER,2017-12-30T00:00:00Z,NOT AVAILABLE,-999,-999,155,-999,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,1482096,NURSING HOME
-87.30368318,30.53478865,11445,121261,SABAL HOUSE,150 CROSSVILLE STREET,CANTONMENT,FL,32533,NOT AVAILABLE,(850) 477-1312,ASSISTED CARE,OPEN,44,ESCAMBIA,12033,USA,30.53478865,-87.30368318,623312,ASSISTED LIVING FACILITIES FOR THE ELDERLY,http://www.floridahealthfinder.gov/facilitylocator/facilitysearch.aspx,2017-11-14T00:00:00Z,IMAGERY/OTHER,2017-12-30T00:00:00Z,NOT AVAILABLE,-999,-999,44,-999,FOR-PROFIT,NOT AVAILABLE,NOT AVAILABLE,11965159,ASSISTED LIVING FACILITY
-87.2076578,30.50787421,11765,124187,WINDERMERE MEMORY CARE INC,7901 KIPLING ST,PENSACOLA,FL,32514,NOT AVAILABLE,(850) 477-1600,ASSISTED CARE,OPEN,45,ESCAMBIA,12033,USA,30.50787421,-87.2076578,623312,ASSISTED LIVING FACILITIES FOR THE ELDERLY,http://www.floridahealthfinder.gov/facilitylocator/ListFacilities.aspx,2017-11-14T00:00:00Z,IMAGERY/OTHER,2018-11-26T00:00:00Z,NOT AVAILABLE,-999,-999,45,-999,WINDERMERE MEMORY CARE INC,NOT AVAILABLE,NOT AVAILABLE,12844,ASSISTED LIVING FACILITY
-87.19942343,30.468073360000002,12421,12698,HAVEN OF OUR LADY OF PEACE,1900 SUMMIT BOULEVARD,PENSACOLA,FL,32503,NOT AVAILABLE,(850) 436-5900,NURSING HOME,OPEN,120,ESCAMBIA,12033,USA,30.468073360000002,-87.19942343,623110,NURSING CARE FACILITIES (SKILLED NURSING FACILITIES),http://www.floridahealthfinder.gov/facilitylocator/facilitysearch.aspx,2017-11-14T00:00:00Z,IMAGERY/OTHER,2017-12-30T00:00:00Z,NOT AVAILABLE,-999,-999,120,-999,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,11970951,NURSING HOME
-87.22432182,30.41429093,7619,121350,SOUTHERN OAKS REHABILITATION AND NURSING CENTER,600 WEST GREGORY STREET,PENSACOLA,FL,32501,NOT AVAILABLE,(850) 437-3131,NURSING HOME,OPEN,210,ESCAMBIA,12033,USA,30.41429093,-87.22432182,623110,NURSING CARE FACILITIES (SKILLED NURSING FACILITIES),http://www.floridahealthfinder.gov/facilitylocator/facilitysearch.aspx,2017-11-14T00:00:00Z,IMAGERY/OTHER,2017-12-30T00:00:00Z,NOT AVAILABLE,-999,-999,210,-999,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,1556096,NURSING HOME
-87.28635528,30.54790399,17690,122889,LAURELWOOD ASSISTED LIVING FACILITY INC,1851 WEST TEN MILE ROAD,CANTONMENT,FL,32533,NOT AVAILABLE,(850) 476-1246,ASSISTED CARE,OPEN,14,ESCAMBIA,12033,USA,30.54790399,-87.28635528,623312,ASSISTED LIVING FACILITIES FOR THE ELDERLY,http://www.floridahealthfinder.gov/facilitylocator/ListFacilities.aspx,2017-11-14T00:00:00Z,IMAGERY/OTHER,2018-11-08T00:00:00Z,www.laurelwoodassisted.com,-999,-999,14,-999,LAURELWOOD ASSISTED LIVING FACILITY INC.,NOT AVAILABLE,NOT AVAILABLE,9554,ASSISTED LIVING FACILITY
-87.21586103,30.53923289,17708,123956,THE RESIDENCE,10075 HILLVIEW RD,PENSACOLA,FL,32514,NOT AVAILABLE,(850) 484-3529,ASSISTED CARE,OPEN,22,ESCAMBIA,12033,USA,30.53923289,-87.21586103,623312,ASSISTED LIVING FACILITIES FOR THE ELDERLY,http://www.floridahealthfinder.gov/facilitylocator/ListFacilities.aspx,2017-11-14T00:00:00Z,IMAGERY/OTHER,2018-11-21T00:00:00Z,NOT AVAILABLE,-999,-999,22,-999,COVENANT MEMORY CARE CENTER AT THE JOYCE GOLDENBERG CAMPUS LLC,NOT AVAILABLE,NOT AVAILABLE,13110,ASSISTED LIVING FACILITY
-87.30828043,30.42472867,16368,12538,EMERALD GARDENS PROPERTIES LLC,1012 N 72 AVENUE,PENSACOLA,FL,32506,NOT AVAILABLE,(850) 458-8558,ASSISTED CARE,OPEN,55,ESCAMBIA,12033,USA,30.42472867,-87.30828043,623312,ASSISTED LIVING FACILITIES FOR THE ELDERLY,http://www.floridahealthfinder.gov/facilitylocator/facilitysearch.aspx,2017-11-14T00:00:00Z,IMAGERY/OTHER,2017-12-30T00:00:00Z,NOT AVAILABLE,-999,-999,55,-999,FOR-PROFIT,NOT AVAILABLE,NOT AVAILABLE,11967671,ASSISTED LIVING FACILITY
-87.21473786,30.52011154,16709,122162,CLARITY POINTE PENSACOLA,8601 N DAVIS HWY,PENSACOLA,FL,32514,NOT AVAILABLE,(850) 898-3334,ASSISTED CARE,OPEN,80,ESCAMBIA,12033,USA,30.52011154,-87.21473786,623312,ASSISTED LIVING FACILITIES FOR THE ELDERLY,http://www.floridahealthfinder.gov/facilitylocator/ListFacilities.aspx,2017-11-14T00:00:00Z,IMAGERY/OTHER,2018-10-29T00:00:00Z,NOT AVAILABLE,-999,-999,80,-999,CP/AIG - PENSACOLA DEVELOPMENT LLC,NOT AVAILABLE,NOT AVAILABLE,12953,ASSISTED LIVING FACILITY
-87.27310383,30.97119048,18398,12371,CENTURY HEALTH AND REHABILITATION CENTER,6020 INDUSTRIAL BLVD,CENTURY,FL,32535,NOT AVAILABLE,(850) 256-1540,NURSING HOME,OPEN,88,ESCAMBIA,12033,USA,30.97119048,-87.27310383,623110,NURSING CARE FACILITIES (SKILLED NURSING FACILITIES),http://www.floridahealthfinder.gov/facilitylocator/facilitysearch.aspx,2017-11-14T00:00:00Z,IMAGERY/OTHER,2017-12-30T00:00:00Z,centurycarecenter.com,-999,-999,88,-999,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,16230961,NURSING HOME
-87.22575827,30.51130497,19120,12648,GRANDVIEW,1706 OLIVE ROAD,PENSACOLA,FL,32514,7553,(850) 477-4929,ASSISTED CARE,OPEN,85,ESCAMBIA,12033,USA,30.51130497,-87.22575827,623312,ASSISTED LIVING FACILITIES FOR THE ELDERLY,http://www.floridahealthfinder.gov/facilitylocator/facilitysearch.aspx,2017-11-14T00:00:00Z,IMAGERY/OTHER,2017-12-30T00:00:00Z,https://www.grandviewpensacola.com/,-999,-999,85,-999,FOR-PROFIT,NOT AVAILABLE,NOT AVAILABLE,11932670,ASSISTED LIVING FACILITY
-87.16752511,30.5075887,19368,121039,NORTHPOINTE RETIREMENT COMMUNITY,5100 NORTHPOINTE PARKWAY,PENSACOLA,FL,32514,NOT AVAILABLE,(850) 478-1114,ASSISTED CARE,OPEN,100,ESCAMBIA,12033,USA,30.5075887,-87.16752511,623312,ASSISTED LIVING FACILITIES FOR THE ELDERLY,http://www.floridahealthfinder.gov/facilitylocator/facilitysearch.aspx,2017-11-14T00:00:00Z,IMAGERY/OTHER,2017-12-30T00:00:00Z,NOT AVAILABLE,-999,-999,100,-999,FOR-PROFIT,NOT AVAILABLE,NOT AVAILABLE,11911678,ASSISTED LIVING FACILITY
-87.30543414,30.48840037,21186,121503,VERANDA OF PENSACOLA INC (THE),6982 PINE FOREST ROAD,PENSACOLA,FL,32526,NOT AVAILABLE,(850) 944-8800,ASSISTED CARE,OPEN,60,ESCAMBIA,12033,USA,30.48840037,-87.30543414,623312,ASSISTED LIVING FACILITIES FOR THE ELDERLY,http://www.floridahealthfinder.gov/facilitylocator/facilitysearch.aspx,2017-11-14T00:00:00Z,IMAGERY/OTHER,2017-12-30T00:00:00Z,NOT AVAILABLE,-999,-999,60,-999,FOR-PROFIT,NOT AVAILABLE,NOT AVAILABLE,11967078,ASSISTED LIVING FACILITY
-87.22037945,30.52256365,20400,12299,BROOKDALE PENSACOLA,8700 UNIVERSITY PARKWAY,PENSACOLA,FL,32501,NOT AVAILABLE,(850) 484-9500,ASSISTED CARE,OPEN,60,ESCAMBIA,12033,USA,30.52256365,-87.22037945,623312,ASSISTED LIVING FACILITIES FOR THE ELDERLY,http://www.floridahealthfinder.gov/facilitylocator/facilitysearch.aspx,2017-11-14T00:00:00Z,IMAGERY/OTHER,2017-12-30T00:00:00Z,NOT AVAILABLE,-999,-999,60,-999,FOR-PROFIT,NOT AVAILABLE,NOT AVAILABLE,11964959,ASSISTED LIVING FACILITY
-87.21363251,30.5400356,27301,1273,ARCADIA HEALTH & REHABILITATION CENTER,10095 HILLVIEW ROAD,PENSACOLA,FL,32514,NOT AVAILABLE,(850) 479-4000,NURSING HOME,OPEN,170,ESCAMBIA,12033,USA,30.5400356,-87.21363251,623110,NURSING CARE FACILITIES (SKILLED NURSING FACILITIES),http://www.floridahealthfinder.gov/facilitylocator/facilitysearch.aspx,2017-11-14T00:00:00Z,IMAGERY/OTHER,2017-12-30T00:00:00Z,NOT AVAILABLE,-999,-999,170,-999,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,1030095,NURSING HOME
-87.2072409,30.53951863,27642,123263,OAKBRIDGE TERRACE AT AZALEA TRACE,10100 HILLVIEW ROAD,PENSACOLA,FL,32514,NOT AVAILABLE,(850) 857-4976,ASSISTED CARE,OPEN,54,ESCAMBIA,12033,USA,30.53951863,-87.2072409,623312,ASSISTED LIVING FACILITIES FOR THE ELDERLY,http://www.floridahealthfinder.gov/facilitylocator/ListFacilities.aspx,2017-11-14T00:00:00Z,IMAGERY/OTHER,2018-11-13T00:00:00Z,www.actsretirement.org,-999,-999,54,-999,ACTS RETIREMENT LIFE COMMUNITIES INC,NOT AVAILABLE,NOT AVAILABLE,9165,ASSISTED LIVING FACILITY
-87.51723979,30.78489229,31630,122356,ENON COUNTRY MANOR ALF LLC,7701 ENON SCHOOL RD,WALNUT HILL,FL,32568,1531,(850) 327-4867,ASSISTED CARE,OPEN,25,ESCAMBIA,12033,USA,30.78489229,-87.51723979,623312,ASSISTED LIVING FACILITIES FOR THE ELDERLY,http://www.floridahealthfinder.gov/facilitylocator/ListFacilities.aspx,2017-11-14T00:00:00Z,IMAGERY/OTHER,2018-10-31T00:00:00Z,NOT AVAILABLE,-999,-999,25,-999,ENON COUNTRY MANOR ALF LLC,NOT AVAILABLE,NOT AVAILABLE,5153,ASSISTED LIVING FACILITY
-87.19839875,30.50841572,31857,12918,LIFE CARE CENTER OF PENSACOLA,3291 EAST OLIVE RD,PENSACOLA,FL,32514,NOT AVAILABLE,(850) 494-2327,NURSING HOME,OPEN,120,ESCAMBIA,12033,USA,30.50841572,-87.19839875,623110,NURSING CARE FACILITIES (SKILLED NURSING FACILITIES),http://www.floridahealthfinder.gov/facilitylocator/facilitysearch.aspx,2017-11-14T00:00:00Z,IMAGERY/OTHER,2017-12-30T00:00:00Z,www.lcca.com,-999,-999,120,-999,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,130471037,NURSING HOME
-87.22174486,30.51669034,26667,123715,SOLARIS HEALTHCARE PENSACOLA,8475 UNIVERSITY PARKWAY,PENSACOLA,FL,32514,NOT AVAILABLE,(850) 474-1252,NURSING HOME,OPEN,180,ESCAMBIA,12033,USA,30.51669034,-87.22174486,623110,NURSING CARE FACILITIES (SKILLED NURSING FACILITIES),http://www.floridahealthfinder.gov/facilitylocator/ListFacilities.aspx,2017-11-14T00:00:00Z,IMAGERY/OTHER,2018-11-19T00:00:00Z,solarishealthcare.org,-999,-999,180,-999,SOLARIS HEALTHCARE PENSACOLA LLC,NOT AVAILABLE,NOT AVAILABLE,14130961,NURSING HOME
-87.30452335,30.48963429,33220,121353,SPECIALTY HEALTH AND REHABILITATION CENTER,6984 PINE FOREST ROAD,PENSACOLA,FL,32526,NOT AVAILABLE,(850) 430-3400,NURSING HOME,OPEN,120,ESCAMBIA,12033,USA,30.48963429,-87.30452335,623110,NURSING CARE FACILITIES (SKILLED NURSING FACILITIES),http://www.floridahealthfinder.gov/facilitylocator/facilitysearch.aspx,2017-11-14T00:00:00Z,IMAGERY/OTHER,2017-12-30T00:00:00Z,NOT AVAILABLE,-999,-999,120,-999,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,13270961,NURSING HOME
-87.221035,30.514562,33484,123278,OLIVE BRANCH HEALTH AND REHAB CENTER,8325 UNIVERSITY PARKWAY,PENSACOLA,FL,32514,NOT AVAILABLE,(941) 780-3581,NURSING HOME,OPEN,90,ESCAMBIA,12033,USA,30.514562,-87.221035,623110,NURSING CARE FACILITIES (SKILLED NURSING FACILITIES),http://www.floridahealthfinder.gov/facilitylocator/ListFacilities.aspx,2017-11-14T00:00:00Z,UNVERIFIED,2018-11-13T00:00:00Z,NOT AVAILABLE,-999,-999,90,-999,NF ESCAMBIA LLC,NOT AVAILABLE,NOT AVAILABLE,130471063,NURSING HOME
-87.22223662,30.48350675,33574,123967,THE WATERFORD AT CARPENTER'S CREEK,5918 NORTH DAVIS HIGHWAY,PENSACOLA,FL,32503,NOT AVAILABLE,(850) 477-8998,ASSISTED CARE,OPEN,105,ESCAMBIA,12033,USA,30.48350675,-87.22223662,623312,ASSISTED LIVING FACILITIES FOR THE ELDERLY,http://www.floridahealthfinder.gov/facilitylocator/ListFacilities.aspx,2017-11-14T00:00:00Z,IMAGERY/OTHER,2018-11-21T00:00:00Z,NOT AVAILABLE,-999,-999,105,-999,CSL CARPENTERS CREEK FL LLC,NOT AVAILABLE,NOT AVAILABLE,7222,ASSISTED LIVING FACILITY
-87.22209722,30.52773351,33575,123968,THE WATERFORD AT CREEKSIDE,9015 UNIVERSITY PARKWAY,PENSACOLA,FL,32514,NOT AVAILABLE,(850) 477-6400,ASSISTED CARE,OPEN,98,ESCAMBIA,12033,USA,30.52773351,-87.22209722,623312,ASSISTED LIVING FACILITIES FOR THE ELDERLY,http://www.floridahealthfinder.gov/facilitylocator/ListFacilities.aspx,2017-11-14T00:00:00Z,IMAGERY/OTHER,2018-11-21T00:00:00Z,NOT AVAILABLE,-999,-999,98,-999,CSL CREEKSIDE FL LLC,NOT AVAILABLE,NOT AVAILABLE,9068,ASSISTED LIVING FACILITY
-87.31442633,30.42413232,33598,124136,VISIONARY LIVING INC,923 NORTH 77TH AVENUE,PENSACOLA,FL,32506,NOT AVAILABLE,(850) 455-6000,ASSISTED CARE,OPEN,15,ESCAMBIA,12033,USA,30.42413232,-87.31442633,623312,ASSISTED LIVING FACILITIES FOR THE ELDERLY,http://www.floridahealthfinder.gov/facilitylocator/ListFacilities.aspx,2017-11-14T00:00:00Z,IMAGERY/OTHER,2018-11-26T00:00:00Z,NOT AVAILABLE,-999,-999,15,-999,VISIONARY LIVING INC.,NOT AVAILABLE,NOT AVAILABLE,6029,ASSISTED LIVING FACILITY
-87.28491995,30.51408569,35928,124289,PRISYCO MANOR LLC,8061 GROVELAND AVE,PENSACOLA,FL,32534,NOT AVAILABLE,(850) 495-2779,ASSISTED CARE,OPEN,8,ESCAMBIA,12033,USA,30.51408569,-87.28491995,623312,ASSISTED LIVING FACILITIES FOR THE ELDERLY,http://www.floridahealthfinder.gov/facilitylocator/ListFacilities.aspx,2018-12-05T00:00:00Z,IMAGERY/OTHER,2019-04-24T00:00:00Z,NOT AVAILABLE,-999,-999,8,-999,PRISYCO MANOR LLC,NOT AVAILABLE,NOT AVAILABLE,13199,ASSISTED LIVING
-87.225701,30.48236,35946,124309,THE BLAKE AT PENSACOLA OPERATING COMPANY LLC,428 AIRPORT BLVD,PENSACOLA,FL,32503,NOT AVAILABLE,(850) 476-1010,ASSISTED CARE,OPEN,130,ESCAMBIA,12033,USA,30.48236,-87.225701,623312,ASSISTED LIVING FACILITIES FOR THE ELDERLY,http://www.floridahealthfinder.gov/facilitylocator/ListFacilities.aspx,2018-12-05T00:00:00Z,UNVERIFIED,2019-04-24T00:00:00Z,NOT AVAILABLE,-999,-999,130,-999,THE BLAKE AT PENSACOLA OPERATING COMPANY LLC,NOT AVAILABLE,NOT AVAILABLE,13226,ASSISTED LIVING
-87.24332206,30.52589151,35955,124319,WHISPERING PINES ASSISTED LIVING FACILITY LLC,1030 JOJO ROAD,PENSACOLA,FL,32514,NOT AVAILABLE,(917) 783-3155,NURSING HOME,OPEN,15,ESCAMBIA,12033,USA,30.52589151,-87.24332206,623110,NURSING CARE FACILITIES (SKILLED NURSING FACILITIES),http://www.floridahealthfinder.gov/facilitylocator/ListFacilities.aspx,2018-12-05T00:00:00Z,IMAGERY/OTHER,2019-04-24T00:00:00Z,NOT AVAILABLE,-999,-999,15,-999,WHISPERING PINES ASSISTED LIVING LLC,NOT AVAILABLE,NOT AVAILABLE,13168,NURSING HOME
-87.21501566,30.52035209,35957,124322,YOURLIFE OF PENSACOLA,8601 N DAVIS HWY,PENSACOLA,FL,32514,NOT AVAILABLE,(850) 898-3334,ASSISTED CARE,OPEN,80,ESCAMBIA,12033,USA,30.52035209,-87.21501566,623312,ASSISTED LIVING FACILITIES FOR THE ELDERLY,http://www.floridahealthfinder.gov/facilitylocator/ListFacilities.aspx,2018-12-05T00:00:00Z,UNVERIFIED,2019-04-24T00:00:00Z,www.yourlifepensacola.com,-999,-999,80,-999,CP/AIG - PENSACOLA DEVELOPMENT LLC,NOT AVAILABLE,NOT AVAILABLE,12953,ASSISTED LIVING
-87.26772579,30.43016572,32368,122676,HOME OF HOPE,104 DOGWOOD DRIVE,PENSACOLA,FL,32505,NOT AVAILABLE,(850) 453-7177,ASSISTED CARE,OPEN,10,ESCAMBIA,12033,USA,30.43016572,-87.26772579,623312,ASSISTED LIVING FACILITIES FOR THE ELDERLY,http://www.floridahealthfinder.gov/facilitylocator/ListFacilities.aspx,2017-11-14T00:00:00Z,IMAGERY/OTHER,2018-11-06T00:00:00Z,NOT AVAILABLE,-999,-999,10,-999,JURENDA MCLAMB,NOT AVAILABLE,NOT AVAILABLE,10769,ASSISTED LIVING FACILITY
-87.22973821,30.41497209,32390,122721,INASMUCH ASSISTED LIVING FACILITY INC,1007 WEST WRIGHT STREET,PENSACOLA,FL,32501,NOT AVAILABLE,(850) 438-7177,ASSISTED CARE,OPEN,6,ESCAMBIA,12033,USA,30.41497209,-87.22973821,623312,ASSISTED LIVING FACILITIES FOR THE ELDERLY,http://www.floridahealthfinder.gov/facilitylocator/ListFacilities.aspx,2017-11-14T00:00:00Z,IMAGERY/OTHER,2018-11-07T00:00:00Z,NOT AVAILABLE,-999,-999,6,-999,INASMUCH ASSISTED LIVING FACILITY INC,NOT AVAILABLE,NOT AVAILABLE,11750,ASSISTED LIVING FACILITY
-87.28377204,30.44243742,25021,1291,ASBURY PLACE,4916 MOBILE HIGHWAY,PENSACOLA,FL,32506,NOT AVAILABLE,(850) 453-0100,ASSISTED CARE,OPEN,64,ESCAMBIA,12033,USA,30.44243742,-87.28377204,623312,ASSISTED LIVING FACILITIES FOR THE ELDERLY,http://www.floridahealthfinder.gov/facilitylocator/facilitysearch.aspx,2017-11-14T00:00:00Z,IMAGERY/OTHER,2017-12-30T00:00:00Z,NOT AVAILABLE,-999,-999,64,-999,FOR-PROFIT,NOT AVAILABLE,NOT AVAILABLE,11964608,ASSISTED LIVING FACILITY
