X1,serial,x,y,naics,street,city,state,zip,naics_essential_classification,naics_classification_notes
344,344,-82.4137425,29.602206,NA,6629 SW ARCHER RD,GAINESVILLE,FL,32608,NA,NA
371,371,-82.330641,29.677428,541211,2711 NW 6TH ST EAST,GAINESVILLE,FL,32609,Essential,(pg.15)
398,398,-82.3390335,29.655999,722513,505 NW 13TH ST,GAINESVILLE,FL,32601,Essential*,"Restaurant carry-out and quick serve food operations, including dark kitchen and food prep centers, and carryout and delivery food employees. (pg. 3)"
405,405,-82.342593,29.703789,532120,1540 NW 53RD AVE,GAINESVILLE,FL,32609,Essential*,Conflicitng requirements (pg. 9-10)
412,412,-82.38258,29.668626,NA,1708 NW 38TH DR,GAINESVILLE,FL,32605,NA,NA
445,445,-82.3446,29.637657,621210,1601 SW ARCHER ROAD,GAINESVILLE,FL,32608,Essential,(pg. 1)
471,471,-82.438641,29.606742,621999,9127 SW 52ND AVE D-101,GAINESVILLE,FL,32608,Essential,(pg. 1)
501,501,-82.331703,29.64789,622110,625 SW 4TH AVE,GAINESVILLE,FL,32601,Essential,(pg. 1)
536,536,-82.3984515,29.675295,722511,5201 NW 24TH PLACE,GAINESVILLE,FL,32606,Essential*,"Restaurant carry-out and quick serve food operations, including dark kitchen and food prep centers, and carryout and delivery food employees. (pg. 3)"
553,553,-82.343952,29.65221,812111,1620 WEST UNIVERSITY AVE,GAINESVILLE,FL,32603,Nonessential,NA
562,562,-82.4135805,29.67372,561990,6651 NW 23RD AVE,GAINESVILLE,FL,32606,Essential*,"Provide services that are necessary to maintaining the safety, sanitation, and essential operation of residences, businesses and buildings such as hospitals, senior living facilities, any temporary construction required to support COVID-19 response (pg. 10)"
589,589,-82.3423005,29.612835,624190,4300 SW 13TH ST,GAINESVILLE,FL,32608,Essential,(pg. 1)
606,606,-82.5942735,29.817162,531312,17690 NW 235TH WAY,HIGH SPRINGS,FL,32643,Essential,(pg. 14)
617,617,-82.44171,29.602755,112990,5524 SW 92ND WAY,GAINESVILLE,FL,32608,Essential,(pg. 4)
625,625,-82.4042025,29.877165,541618,24106 NW 54TH TERRACE,ALACHUA,FL,32615,Essential*,Anything needed to support continuation of essential services
651,651,-82.421271,29.655153,722511,7331 NW 4TH BLVD,GAINESVILLE,FL,32607,Essential*,"Restaurant carry-out and quick serve food operations, including dark kitchen and food prep centers, and carryout and delivery food employees. (pg. 3)"
652,652,-82.527993,29.893014,NA,17420 NW 259TH LANE,ALACHUA,FL,32615,NA,NA
677,677,-82.3189725,29.652579,611110,620 EAST UNIVERSITY AVE,GAINESVILLE,FL,32601,Essential*,For purposes of facilitating distance learning or performing other essential functions (pg. 14)
680,680,-82.308033,29.670174,812990,1312 NE 19TH PLACE,GAINESVILLE,FL,32609,Nonessential,NA
692,692,-82.3982625,29.668266,621111,1710 NW 51ST TERRACE,GAINESVILLE,FL,32605,Essential,(pg. 1)
693,693,-82.433493,29.612214,621111,4430 SW 84TH WAY,GAINESVILLE,FL,32608,Essential,(pg. 1)
707,707,-82.4146605,29.661363,621210,6801 NW 9TH BLVD 1,GAINESVILLE,FL,32605,Essential,(pg. 1)
727,727,-82.34271,29.639799,621111,1600 SW ARCHER ROAD 4146,GAINESVILLE,FL,32610,Essential,(pg. 1)
729,729,-82.3880835,29.675628,722511,2441 NW 43RD ST 6C,GAINESVILLE,FL,32606,Essential*,"Restaurant carry-out and quick serve food operations, including dark kitchen and food prep centers, and carryout and delivery food employees. (pg. 3)"
733,733,-82.4389425,29.607264,445110,9158 SW 51ST ROAD J101,GAINESVILLE,FL,32608,Essential,(pg. 3)
753,753,-82.3906750754704,29.6577741722321,524113,4507 NW 6TH PLACE,GAINESVILLE,FL,32607,Essential,(pg.16)
789,789,-82.612602,29.646477,921120,25440 WEST NEWBERRY ROAD,NEWBERRY,FL,32669,Essential,(pg. 14)
798,798,-82.279314,29.798316,561990,3715 NE 159TH PLACE,GAINESVILLE,FL,32609,Essential*,"Provide services that are necessary to maintaining the safety, sanitation, and essential operation of residences, businesses and buildings such as hospitals, senior living facilities, any temporary construction required to support COVID-19 response (pg. 10)"
848,848,-82.60155,29.639952,NA,DIGENTI POOL SERVICES LLCBR24532 SW 13TH LN,NEWBERRY,FL,32669,NA,NA
908,908,-82.3548915,29.719962,423730,2208 NW 71ST PLACE,GAINESVILLE,FL,32653,Essential,(pg.18)
949,949,-82.390392,29.701962,541618,5200 NW 43RD ST,GAINESVILLE,FL,32606,Essential*,Anything needed to support continuation of essential services
1040,1040,-82.430892,29.686104,541618,8304 NW 36TH AVE,GAINESVILLE,FL,32606,Essential*,Anything needed to support continuation of essential services
1047,1047,-82.600461,29.678634,811412,2610 NW 244TH ST,NEWBERRY,FL,32669,Essential,(pg.15)
1060,1060,-82.429524,29.673099,813110,8105 NW 23RD AVE,GAINESVILLE,FL,32606,Essential*,For essential support (pg. 14)
1061,1061,-82.2735832322621,29.6769697293115,236115,3880 NE 39TH AVE,GAINESVILLE,FL,32609,Essential,(pg.15)
1068,1068,-82.330475293393,29.6565984735943,621330,613 NW 6TH ST,GAINESVILLE,FL,32601,Essential,(pg. 1)
1112,1112,-82.3826025,29.615193,721110,4225 SW 40TH BLVD,GAINESVILLE,FL,32608,Essential,(pg.15)
1113,1113,-82.327014,29.651904,722511,211 WEST UNIVERSITY AVE,GAINESVILLE,FL,32601,Essential*,"Restaurant carry-out and quick serve food operations, including dark kitchen and food prep centers, and carryout and delivery food employees. (pg. 3)"
1116,1116,-82.5943648134895,29.8259228624729,453910,240 NE 1ST AVE,HIGH SPRINGS,FL,32643,Essential,(pg. 3)
1123,1123,-82.34271,29.639799,621111,1600 SW ARCHER ROAD,GAINESVILLE,FL,32610,Essential,(pg. 1)
1143,1143,-82.3454505,29.71629,334220,6735 NW 18TH DRIVE 4-5,GAINESVILLE,FL,32653,Essential,(pg. 11)
1157,1157,-82.2834599999999,29.50564,621111,UF HEALTH SCIENCE CENTER,MICANOPY,FL,32667,Essential,(pg. 1)
1191,1191,-82.169892,29.81493,445110,17500 NE US HWY 301,WALDO,FL,32694,Essential,(pg. 3)
1194,1194,-82.3012605,29.673666,442210,1801 NE 23RD AVE D3,GAINESVILLE,FL,32609,Nonessential,NA
1205,1205,-82.4110300812877,29.6594880656524,NA,6335 WEST NEWBERRY ROAD,GAINESVILLE,FL,32605,NA,NA
1239,1239,-82.5623505,29.605176,237210,20725 SW 46TH AVE,NEWBERRY,FL,32669,Nonessential,NA
1244,1244,-82.501893,29.696562,314999,14818 NW 45TH PLACE,NEWBERRY,FL,32669,Nonessential,NA
1274,1274,-82.365462,29.61576,561990,2824 SW 38TH PLACE,GAINESVILLE,FL,32608,Essential*,"Provide services that are necessary to maintaining the safety, sanitation, and essential operation of residences, businesses and buildings such as hospitals, senior living facilities, any temporary construction required to support COVID-19 response (pg. 10)"
1287,1287,-82.38717,29.666772,561990,1530 NW 41ST ST,GAINESVILLE,FL,32605,Essential*,"Provide services that are necessary to maintaining the safety, sanitation, and essential operation of residences, businesses and buildings such as hospitals, senior living facilities, any temporary construction required to support COVID-19 response (pg. 10)"
1300,1300,-82.43748,29.665548,444220,1338 NW 89TH TERRACE,GAINESVILLE,FL,32606,Essential*,"Farmers, farm workers, support service workers, and their supplier employees (pg. 3)"
1304,1304,-82.3943925,29.689776,NA,3951 NW 48TH TERRACE 201 30,GAINESVILLE,FL,32606,NA,NA
1314,1314,-82.334484,29.658843,621399,901 NW 8TH AVE,GAINESVILLE,FL,32601,Essential,(pg. 1)
1341,1341,-82.4014305,29.53485,111332,13003 SW WILLISTON ROAD,MICANOPY,FL,32667,Essential,(pg. 3)
1346,1346,-82.33146,29.702763,446199,605 NW 53RD AVE A13,GAINESVILLE,FL,32609,Essential,(pg. 1)
1359,1359,-82.4471505,29.623662,541618,3202 SW 98TH DRIVE,GAINESVILLE,FL,32608,Essential*,Anything needed to support continuation of essential services
1363,1363,-82.602081,29.650725,337110,100 NW 242ND ST,NEWBERRY,FL,32669,Nonessential,NA
1368,1368,-82.3480515,29.715642,236118,1911 NW 67TH PLACE 2,GAINESVILLE,FL,32653,Essential*,Workers performing housing construction related activities to ensure additional units can be made available to combat the nation’s existing housing supply shortage. (pg. 18)
1432,1432,-82.3288635,29.652138,624110,408 WEST UNIVERSITY AVE 205,GAINESVILLE,FL,32601,Essential,(pg. 1)
1444,1444,-82.3979025,29.726406,611610,7809 NW 51ST DRIVE,GAINESVILLE,FL,32653,Essential*,For purposes of facilitating distance learning or performing other essential functions (pg. 14)
1452,1452,-82.34271,29.639799,621111,1600 SW ARCHER ROAD M509,GAINESVILLE,FL,32610,Essential,(pg. 1)
1464,1464,-82.303173,29.659086,921190,1701 NE 8TH AVE,GAINESVILLE,FL,32641,Essential,(pg. 14)
1471,1471,-82.3288635,29.652138,541110,408 WEST UNIVERSITY AVE,GAINESVILLE,FL,32601,Essential,(pg.15)
1478,1478,-82.3257,29.651787,722513,19 WEST UNIVERSITY AVE,GAINESVILLE,FL,32601,Essential*,"Restaurant carry-out and quick serve food operations, including dark kitchen and food prep centers, and carryout and delivery food employees. (pg. 3)"
1479,1479,-82.3268925,29.687994,NA,405 NW 39TH AVE,GAINESVILLE,FL,32609,NA,NA
1491,1491,-82.34271,29.639799,621399,1600 SW ARCHER ROAD,GAINESVILLE,FL,32610,Essential,(pg. 1)
1506,1506,-82.339722,29.702979,531312,1325 NW 53RD AVE EAST,GAINESVILLE,FL,32609,Essential,(pg. 14)
1530,1530,-82.395693,29.695797,812990,4950 NW 44TH LANE APT 102,GAINESVILLE,FL,32606,Nonessential,NA
1532,1532,-82.3114215,29.653056,561720,103 NE 11TH ST,GAINESVILLE,FL,32601,Essential,Definitely essential in hospitals
1582,1582,-82.488672,29.584926,442210,7524 SW 135TH TERRACE,ARCHER,FL,32618,Nonessential,NA
1588,1588,-82.3986315,29.641644,561730,1000 SW 62ND BLVD APT 921,GAINESVILLE,FL,32607,Essential*,"Provide services that are necessary to maintaining the safety, sanitation, and essential operation of residences, businesses and buildings such as hospitals, senior living facilities, any temporary construction required to support COVID-19 response (pg. 10)"
1604,1604,-82.332162,29.637324,531110,700 SW 16TH AVE,GAINESVILLE,FL,32601,Essential,(pg. 14)
1654,1654,-82.4135805,29.676816,561499,2532 NW 66TH TERRACE,GAINESVILLE,FL,32606,Essential*,Anything needed to support continuation of essential services
1665,1665,-82.3307535,29.668455,523930,1731 NW 6TH ST,GAINESVILLE,FL,32609,Essential,(pg.16)
1679,1679,-82.3695525,29.70027,812112,5001 NW 34TH BLVD D,GAINESVILLE,FL,32605,Nonessential,NA
1684,1684,-82.1693925,29.79621,813410,14440 NE 153RD AVE APT 7,WALDO,FL,32694,Nonessential,NA
1705,1705,-82.4797305,29.65644,NA,12921 SW 1ST ROAD SUITE 115,NEWBERRY,FL,32669,NA,NA
1723,1723,-82.326024,29.653488,541110,106 NW 2ND AVE,GAINESVILLE,FL,32601,Essential,(pg.15)
1728,1728,-82.3408515,29.616858,722511,3830 SW 13TH ST,GAINESVILLE,FL,32608,Essential*,"Restaurant carry-out and quick serve food operations, including dark kitchen and food prep centers, and carryout and delivery food employees. (pg. 3)"
1742,1742,-82.3934025,29.650842,813410,4607 CLEARLAKE DRIVE,GAINESVILLE,FL,32607,Nonessential,NA
1785,1785,-82.34271,29.639799,621111,1600 SW ARCHER ROAD,GAINESVILLE,FL,32610,Essential,(pg. 1)
1790,1790,-82.33857,29.690955,NA,4131 NW 13TH STREET STE210,GAINESVILLE,FL,32609,NA,NA
1800,1800,-82.408464,29.693043,713940,6128 NW 43RD AVE,GAINESVILLE,FL,32606,Nonessential,NA
1801,1801,-82.38645,29.677887,624190,2631 NW 41ST ST E3,GAINESVILLE,FL,32606,Essential,(pg. 1)
1817,1817,-82.3861215,29.679057,624190,2833 NW 41ST ST 140,GAINESVILLE,FL,32606,Essential,(pg. 1)
1844,1844,-82.4677425,29.65572,722410,219 NW 117TH WAY,GAINESVILLE,FL,32607,Essential*,"Restaurant carry-out and quick serve food operations, including dark kitchen and food prep centers, and carryout and delivery food employees (pg. 3)"
1858,1858,-82.4929425,29.653506,524210,14029 WEST NEWBERRY ROAD UNIT 20,NEWBERRY,FL,32669,Essential,(pg.16)
1963,1963,-82.3269915,29.650392,711510,210 SW 2ND AVE,GAINESVILLE,FL,32601,Nonessential,NA
1979,1979,-82.4240925,29.658915,541940,7615 WEST NEWBERRY ROAD,GAINESVILLE,FL,32606,Essential,(pg. 4)
2005,2005,-82.3393787956986,29.6509685185729,813910,120 SW 13TH ST,GAINESVILLE,FL,32601,Essential*,Anything needed to support continuation of essential services
2026,2026,-82.3720815,29.603565,722511,3424 SW WILLISTON ROAD,GAINESVILLE,FL,32608,Essential*,"Restaurant carry-out and quick serve food operations, including dark kitchen and food prep centers, and carryout and delivery food employees. (pg. 3)"
2081,2081,-82.529163,29.606382,512110,5011 SW 177TH ST,ARCHER,FL,32618,Nonessential,NA
2082,2082,-82.4106759285982,29.659755435192,621111,6440 WEST NEWBERRY ROAD 508,GAINESVILLE,FL,32605,Essential,(pg. 1)
2089,2089,-82.3967235,29.718999,NA,7018 NW 50TH TERRACE,GAINESVILLE,FL,32653,NA,NA
2095,2095,-82.3617405,29.675088,621111,2616 NW 25TH PLACE,GAINESVILLE,FL,32605,Essential,(pg. 1)
2110,2110,-82.444311,29.603043,531210,9601 SW 54TH ROAD,GAINESVILLE,FL,32608,Essential,(pg. 14)
2112,2112,-82.433754,29.690802,621111,4037 NW 86TH TERRACE,GAINESVILLE,FL,32606,Essential,(pg. 1)
2138,2138,-82.3473225,29.715102,531210,1901 NW 67TH PLACE G,GAINESVILLE,FL,32653,Essential,(pg. 14)
2139,2139,-82.389294,29.705337,531210,5542 NW 43RD ST,GAINESVILLE,FL,32653,Essential,(pg. 14)
2172,2172,-82.366911,29.697696,238320,4630 NW 30TH ST,GAINESVILLE,FL,32605,Essential*,"Provide services that are necessary to maintaining the safety, sanitation, and essential operation of residences, businesses and buildings such as hospitals, senior living facilities, any temporary construction required to support COVID-19 response (pg. 10)"
2190,2190,-82.3470048999999,29.6447109000001,611699,226 TIGERT HALL,GAINESVILLE,FL,32611,Essential*,For purposes of facilitating distance learning or performing other essential functions (pg. 14)
2210,2210,-82.331703,29.64789,621111,625 SW 4TH AVE,GAINESVILLE,FL,32601,Essential,(pg. 1)
2235,2235,-82.3906174333156,29.6151080760575,561499,4400 SW ARCHER ROAD,GAINESVILLE,FL,32608,Essential*,Anything needed to support continuation of essential services
2304,2304,-82.4487435,29.631177,561990,9925 SW 23RD LANE,GAINESVILLE,FL,32607,Essential*,"Provide services that are necessary to maintaining the safety, sanitation, and essential operation of residences, businesses and buildings such as hospitals, senior living facilities, any temporary construction required to support COVID-19 response (pg. 10)"
2305,2305,-82.3019535,29.668329,561990,1815 NE 16TH WAY,GAINESVILLE,FL,32609,Essential*,"Provide services that are necessary to maintaining the safety, sanitation, and essential operation of residences, businesses and buildings such as hospitals, senior living facilities, any temporary construction required to support COVID-19 response (pg. 10)"
2344,2344,-82.3609935,29.716758,813110,2611 NW 68TH AVE,GAINESVILLE,FL,32653,Essential*,For essential support (pg. 14)
2360,2360,-82.464912,29.652507,NA,111 NW 116TH WAY,GAINESVILLE,FL,32607,NA,NA
2387,2387,-82.4980725,29.79639,453110,15419 NW US HWY 441,ALACHUA,FL,32615,Nonessential,NA
2393,2393,-82.29483,29.667456,921120,1621 NE WALDO ROAD,GAINESVILLE,FL,32609,Essential,(pg. 14)
2397,2397,-82.3541625,29.686752,531320,2260 NW 36TH PLACE,GAINESVILLE,FL,32605,Essential,(pg. 14)
2405,2405,-82.4111235,29.66337,NA,1131 NW 64TH TERRACE STE 21,GAINESVILLE,FL,32605,NA,NA
2408,2408,-82.3451535,29.639277,621210,1395 CENTER DRIVE,GAINESVILLE,FL,32610,Essential,(pg. 1)
2410,2410,-82.3890825,29.68497,621111,3426 NW 43RD ST,GAINESVILLE,FL,32606,Essential,(pg. 1)
2420,2420,-82.621593,29.775447,238330,26346 NW 130TH AVE,HIGH SPRINGS,FL,32643,Essential*,"Provide services that are necessary to maintaining the safety, sanitation, and essential operation of residences, businesses and buildings such as hospitals, senior living facilities, any temporary construction required to support COVID-19 response (pg. 10)"
2427,2427,-82.3451535,29.639277,621210,1395 CENTER DRIVE,GAINESVILLE,FL,32610,Essential,(pg. 1)
2429,2429,-82.372491,29.604609,722515,5218 SW 34TH ST,GAINESVILLE,FL,32608,Essential*,"Restaurant carry-out and quick serve food operations, including dark kitchen and food prep centers, and carryout and delivery food employees. (pg. 3)"
2432,2432,-82.3446,29.637657,561499,1601 SW ARCHER ROAD,GAINESVILLE,FL,32608,Essential*,Anything needed to support continuation of essential services
2433,2433,-82.323801,29.654307,813990,309 NE 1ST ST,GAINESVILLE,FL,32601,Essential*,Anything needed to support continuation of essential services
2439,2439,-82.4390415,29.606715,541110,5200 SW 91ST TERRACE 101,GAINESVILLE,FL,32608,Essential,(pg.15)
2469,2469,-82.43055,29.612736,621111,8207 SW 43RD PLACE,GAINESVILLE,FL,32608,Essential,(pg. 1)
2488,2488,-82.38951,29.656125,531110,4340 WEST NEWBERRY ROAD,GAINESVILLE,FL,32607,Essential,(pg. 14)
2489,2489,-82.438542,29.608902,524210,4850 SW 91ST TERRACE 102,GAINESVILLE,FL,32608,Essential,(pg.16)
2490,2490,-82.403154,29.661588,621111,932 NW 56TH TERRACE,GAINESVILLE,FL,32605,Essential,(pg. 1)
2507,2507,-82.6075935,29.732049,238160,8304 NW STATE ROAD 45,HIGH SPRINGS,FL,32643,Essential*,"Provide services that are necessary to maintaining the safety, sanitation, and essential operation of residences, businesses and buildings such as hospitals, senior living facilities, any temporary construction required to support COVID-19 response (pg. 10)"
2526,2526,-82.389834,29.694942,561990,4400 NW 43RD PLACE,GAINESVILLE,FL,32606,Essential*,"Provide services that are necessary to maintaining the safety, sanitation, and essential operation of residences, businesses and buildings such as hospitals, senior living facilities, any temporary construction required to support COVID-19 response (pg. 10)"
2528,2528,-82.46817,29.820402,453998,18024 NW 112TH BLVD,ALACHUA,FL,32615,Nonessential,NA
2534,2534,-82.4872905,29.786283,484121,13305 RACHAEL BLVD,ALACHUA,FL,32615,Essential,(pg. 8)
2616,2616,-82.322631,29.690253,NA,4021 NE 2ND WAY,GAINESVILLE,FL,32601,NA,NA
2620,2620,-82.403334,29.69271,442210,5631 NW 42ND ROAD,GAINESVILLE,FL,32606,Nonessential,NA
2631,2631,-82.5553035,29.808945,813110,16916 NW US HWY 441,HIGH SPRINGS,FL,32643,Essential*,For essential support (pg. 14)
2640,2640,-82.391472,29.664675,NA,4510 NW 13TH AVE,GAINESVILLE,FL,32605,NA,NA
2643,2643,-82.4237325,29.651769,238330,100 SW 75TH ST,GAINESVILLE,FL,32607,Essential*,"Provide services that are necessary to maintaining the safety, sanitation, and essential operation of residences, businesses and buildings such as hospitals, senior living facilities, any temporary construction required to support COVID-19 response (pg. 10)"
2678,2678,-82.530711,29.753289,NA,10625 NW COUNTY ROAD 235,ALACHUA,FL,32615,NA,NA
2695,2695,-82.4490225,29.68551,0,3500 NW 97TH BLVD,GAINESVILLE,FL,32606,NA,NA
2709,2709,-82.421982,29.653695,339116,101 NW 75TH ST 2,GAINESVILLE,FL,32607,Essential,(pg. 1)
2778,2778,-82.4292,29.613402,561499,8110 SW 43RD PLACE,GAINESVILLE,FL,32608,Essential*,Anything needed to support continuation of essential services
2780,2780,-82.405161,29.663406,561990,1132 NW 58TH TERRACE,GAINESVILLE,FL,32605,Essential*,"Provide services that are necessary to maintaining the safety, sanitation, and essential operation of residences, businesses and buildings such as hospitals, senior living facilities, any temporary construction required to support COVID-19 response (pg. 10)"
2784,2784,-82.358523,29.720079,238210,2421 NW 71ST PLACE,GAINESVILLE,FL,32653,Essential*,"Provide services that are necessary to maintaining the safety, sanitation, and essential operation of residences, businesses and buildings such as hospitals, senior living facilities, any temporary construction required to support COVID-19 response (pg. 10)"
2797,2797,-82.4937525,29.791143,541110,14811 NW 140TH ST,ALACHUA,FL,32615,Essential,(pg.15)
2817,2817,-82.3736115,29.698785,561790,4800 NW 34TH DRIVE,GAINESVILLE,FL,32605,Essential*,"Provide services that are necessary to maintaining the safety, sanitation, and essential operation of residences, businesses and buildings such as hospitals, senior living facilities, any temporary construction required to support COVID-19 response (pg. 10)"
2903,2903,-82.371663,29.652372,531210,3324 WEST UNIVERSITY AVE 135,GAINESVILLE,FL,32607,Essential,(pg. 14)
2950,2950,-82.3504635,29.705166,531110,2056 NW 55TH BLVD,GAINESVILLE,FL,32653,Essential,(pg. 14)
2957,2957,-82.34271,29.639799,621111,1600 SW ARCHER ROAD 2,GAINESVILLE,FL,32610,Essential,(pg. 1)
2968,2968,-82.286082,29.812536,561990,17204 NORTH COUNTY ROAD 225,GAINESVILLE,FL,32609,Essential*,"Provide services that are necessary to maintaining the safety, sanitation, and essential operation of residences, businesses and buildings such as hospitals, senior living facilities, any temporary construction required to support COVID-19 response (pg. 10)"
2971,2971,-82.613844,29.78505,561990,25525 NW 142ND AVE,HIGH SPRINGS,FL,32643,Essential*,"Provide services that are necessary to maintaining the safety, sanitation, and essential operation of residences, businesses and buildings such as hospitals, senior living facilities, any temporary construction required to support COVID-19 response (pg. 10)"
2979,2979,-82.3927815,29.667438,561990,4624 NW 16TH PLACE,GAINESVILLE,FL,32605,Essential*,"Provide services that are necessary to maintaining the safety, sanitation, and essential operation of residences, businesses and buildings such as hospitals, senior living facilities, any temporary construction required to support COVID-19 response (pg. 10)"
3010,3010,-82.304793,29.66796,541921,1709 NE 15TH TERRACE,GAINESVILLE,FL,32609,Nonessential,NA
3106,3106,-82.28129928475,29.6953533445772,481111,4505 NE 40TH TERRACE,GAINESVILLE,FL,32609,Essential,(pg. 10)
3130,3130,-82.2896325,29.641464,922190,1100 SE 27TH ST,GAINESVILLE,FL,32641,Essential*,Supporting the operations of the judicial system (pg. 14)
3187,3187,-82.3961835,29.678454,624190,5000 NW 27TH COURT D,GAINESVILLE,FL,32606,Essential,(pg. 1)
3198,3198,-82.390203,29.675709,722511,4401 NW 25TH PLACE A,GAINESVILLE,FL,32606,Essential*,"Restaurant carry-out and quick serve food operations, including dark kitchen and food prep centers, and carryout and delivery food employees. (pg. 3)"
3221,3221,-82.51065,29.780964,813110,15716 PEGGY ROAD,ALACHUA,FL,32615,Essential*,For essential support (pg. 14)
3233,3233,-82.573452,29.86875,423940,23311 NW 227TH DRIVE,HIGH SPRINGS,FL,32643,Nonessential,NA
3261,3261,-82.3322115,29.674062,238340,720 NW 23RD AVE,GAINESVILLE,FL,32609,Essential*,"Provide services that are necessary to maintaining the safety, sanitation, and essential operation of residences, businesses and buildings such as hospitals, senior living facilities, any temporary construction required to support COVID-19 response (pg. 10)"
3264,3264,-82.325484,29.689083,531110,110 NW 39TH AVE,GAINESVILLE,FL,32609,Essential,(pg. 14)
3269,3269,-82.1678715,29.781909,423110,524 SOUTH MAIN ST,WALDO,FL,32694,Nonessential,NA
3402,3402,-82.416303,29.652588,541511,6929 WEST UNIVERSITY AVE 4C,GAINESVILLE,FL,32607,Essential,(pg.12)
3404,3404,-82.475712,29.66148,453220,920 NW 124TH DRIVE,NEWBERRY,FL,32669,Nonessential,NA
3437,3437,-82.5322725,29.696454,314999,17819 NW 46TH AVE,ALACHUA,FL,32615,Nonessential,NA
3441,3441,-82.455894,29.781702,522298,13723 US HWY 441,ALACHUA,FL,32615,Essential,(pg.16)
3497,3497,-82.3470048999999,29.6447109000001,611310,220 BARTRAM HALL,GAINESVILLE,FL,32611,Essential*,For purposes of facilitating distance learning or performing other essential functions (pg. 14)
3498,3498,-82.3404735,29.660958,454390,1403 NW 10TH AVE,GAINESVILLE,FL,32605,Nonessential,NA
3504,3504,-82.332612,29.650428,813910,720 SW 2ND AVE 201,GAINESVILLE,FL,32601,Essential*,Anything needed to support continuation of essential services
3506,3506,-82.3391157043014,29.6605239950623,448190,917 NW 13TH ST,GAINESVILLE,FL,32601,Essential*,"Workers supporting the manufacturing of safety equipment and uniforms for law enforcement, public safety personnel, and first responder (pg. 2)"
3521,3521,-82.3838535,29.652039,221310,3929 WEST UNIVERSITY AVE,GAINESVILLE,FL,32607,Essential,(pg. 8)
3528,3528,-82.494432,29.791818,711510,14900 NW 140TH ST,ALACHUA,FL,32615,Nonessential,NA
3539,3539,-82.4551335,29.779605,611519,13570 NW 101ST DRIVE 200,ALACHUA,FL,32615,Essential*,For purposes of facilitating distance learning or performing other essential functions (pg. 14)
3547,3547,-82.3320906745525,29.676641241768,561499,726 NW 26TH AVE,GAINESVILLE,FL,32609,Essential*,Anything needed to support continuation of essential services
3574,3574,-82.603053,29.797722,541618,24488 NW 155TH AVE,HIGH SPRINGS,FL,32643,Essential*,Anything needed to support continuation of essential services
3618,3618,-82.398924,29.714265,722511,6519 NW 53RD TERRACE,GAINESVILLE,FL,32653,Essential*,"Restaurant carry-out and quick serve food operations, including dark kitchen and food prep centers, and carryout and delivery food employees. (pg. 3)"
