PARCELID,FEDERAL_ID,STATE_ID,NAME,Population,ADDRESS,CITY,ZIPCODE,COUNTY,PHONE,TYPE,OWNER,OPERATING,OP_CLASS,YR_BUILT,FSOURCE,DATASOURCE,PROGRAMS,GRADES,LOW_GRADE,HIGH_GRADE,PRINCIPAL,ENROLLMENT,TEACHERS,STDTCH_RT,MIGRNT_STD,TITLE1SCHO,MAGNETINFO,COMMENTS,FREE_LUNCH,REDUCED_LU,FISH_FAC1,FISH_FAC2,BBSERVICE,BBPROVIDER,BBSPEED,DSTREAMSPD,FDOE_MSID,NCES_PUB,NCES_PRIV,FDOE_PRV,LAT_DD,LONG_DD,MGRS,GCID,ACRES,DESCRIPT,FLAG,UPDATE_DAY,FGDLAQDATE,AUTOID,AGELO,AGEHI,n
03191-010-002,NA,NA,SANTA FE COLLEGE - PERRY CENTER FOR EMERGING TECHNOLOGIES,278,14180 NW 119TH TERRACE,ALACHUA,32615,ALACHUA,352-381-3750,COLLEGE/UNIVERSITY,SANTA FE COLLEGE,STATE,PUBLIC,2009,GEOPLAN,GEOPLAN,NA,COLLEGE,COLLEGE,COLLEGE,NA,0,0,0,0,NA,NO INFORMATION AVAILABLE,NA,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,29.78564607,-82.47359233,17RLN5756395944,7387,6.00821847,SANTA FE COLLEGE - PERRY CENTER FOR EMERGING TECHNOLOGIES,V,7/29/2016,9/15/2017,7210,19,35,7
15505-075-000,134130,NA,UNIVERSITY OF FLORIDA,52218,330 SW 13TH ST,GAINESVILLE,32601,ALACHUA,352-337-6900,COLLEGE/UNIVERSITY,UNIVERSITY OF FLORIDA,STATE,PUBLIC,1950,GEOPLAN,FDOE COLLEGE 2007,NA,COLLEGE,COLLEGE,COLLEGE,NA,0,0,0,0,NA,NO INFORMATION AVAILABLE,NA,0,0,0,0,U,NA,NA,0,NA,5/16/2012,NA,NA,29.64960825,-82.3398776,17RLN7031480710,3082,1982.590962,UNIVERSITY OF FLORIDA,V,11/6/2007,9/15/2017,3231,19,35,27
05757-000-000,NA,NA,UNIVERSITY OF FLORIDA - AGRONOMY LAB,NA,6100 NW 156TH AVE,GAINESVILLE,32653,ALACHUA,386-462-5521,COLLEGE/UNIVERSITY,UNIVERSITY OF FLORIDA,STATE,PUBLIC,0,GEOPLAN,FDOE COLLEGE 2007,NA,COLLEGE,COLLEGE,COLLEGE,NA,0,0,0,0,NA,NO INFORMATION AVAILABLE,NA,0,0,0,0,U,NA,NA,0,NA,5/16/2012,NA,NA,29.80196634,-82.41057158,17RLN6367797676,3064,149.8619939,UNIVERSITY OF FLORIDA - AGRONOMY LAB,V,11/6/2007,9/15/2017,2927,19,35,27
07796-000-000,NA,NA,UNIVERSITY OF FLORIDA - BEEF RESEARCH UNIT,NA,9800 N COUNTY ROAD 225,GAINESVILLE,32609,ALACHUA,352-37-60458,COLLEGE/UNIVERSITY,UNIVERSITY OF FLORIDA,STATE,PUBLIC,1900,GEOPLAN,GEOPLAN,NA,COLLEGE,COLLEGE,COLLEGE,NA,0,0,0,0,NA,NO INFORMATION AVAILABLE,NA,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,29.74382831,-82.26498294,17RLN7767891070,5748,1142.349771,UNIVERSITY OF FLORIDA - BEEF RESEARCH UNIT,V,3/29/2016,9/15/2017,5610,19,35,27
03956-010-005,NA,NA,UNIVERSITY OF FLORIDA - COMPARATIVE MEDICINE,NA,13709 PROGRESS BLVD STE 10,ALACHUA,32615,ALACHUA,386-462-6660,COLLEGE/UNIVERSITY,UNIVERSITY OF FLORIDA,STATE,PUBLIC,0,GEOPLAN,FDOE COLLEGE 2007,NA,COLLEGE,COLLEGE,COLLEGE,NA,0,0,0,0,NA,NO INFORMATION AVAILABLE,NA,0,0,0,0,U,NA,NA,0,NA,5/16/2012,NA,NA,29.78278573,-82.47488082,17RLN5743495628,3056,6.00284504,UNIVERSITY OF FLORIDA - COMPARATIVE MEDICINE,V,11/6/2007,9/15/2017,2919,19,35,27
05863-000-000,NA,NA,UNIVERSITY OF FLORIDA - DAIRY RESEARCH UNIT,NA,13200 NW 59TH DR,GAINESVILLE,32653,ALACHUA,386-462-4048,COLLEGE/UNIVERSITY,UNIVERSITY OF FLORIDA,STATE,PUBLIC,1900,GEOPLAN,FDOE COLLEGE 2007,NA,COLLEGE,COLLEGE,COLLEGE,NA,0,0,0,0,NA,NO INFORMATION AVAILABLE,NA,0,0,0,0,U,NA,NA,0,NA,5/16/2012,NA,NA,29.7786906,-82.41568506,17RLN6315195103,3063,996.0687642,UNIVERSITY OF FLORIDA - DAIRY RESEARCH UNIT,V,11/6/2007,9/15/2017,2926,19,35,27
10808-000-000,NA,NA,UNIVERSITY OF FLORIDA - EASTSIDE CAMPUS,NA,2046 NE WALDO RD,GAINESVILLE,32609,ALACHUA,352-273-1006,COLLEGE/UNIVERSITY,UNIVERSITY OF FLORIDA,STATE,PUBLIC,1900,GEOPLAN,GEOPLAN,NA,COLLEGE,COLLEGE,COLLEGE,NA,0,0,0,0,NA,NO INFORMATION AVAILABLE,NA,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,29.67201854,-82.29935575,17RLN7426583149,7439,20.72656341,UNIVERSITY OF FLORIDA - EASTSIDE CAMPUS,V,7/29/2016,9/15/2017,7261,19,35,27
02761-000-000,NA,NA,UNIVERSITY OF FLORIDA - IFAS - BOSTON FARM/ SANTA FE RIVER RANCH/ BEEF UNIT,NA,14202 NW 294 AVE,ALACHUA,32615,ALACHUA,NA,COLLEGE/UNIVERSITY,UNIVERSITY OF FLORIDA,STATE,PUBLIC,1956,GEOPLAN,GEOPLAN,NA,COLLEGE,COLLEGE,COLLEGE,NA,0,0,0,0,NA,NO INFORMATION AVAILABLE,NA,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,29.9257936,-82.495152,17RLP5568111502,5743,443.8542041,UNIVERSITY OF FLORIDA - IFAS - BOSTON FARM/ SANTA FE RIVER RANCH/ BEEF UNIT,V,3/29/2016,9/15/2017,5605,19,35,27
07137-000-000,NA,NA,UNIVERSITY OF FLORIDA - IFAS HORSE TEACHING UNIT - GAINESVILLE,NA,1934 SW 63RD AVE,GAINESVILLE,32608,ALACHUA,352-538-3560,COLLEGE/UNIVERSITY,UNIVERSITY OF FLORIDA,STATE,PUBLIC,1945,GEOPLAN,GEOPLAN,NA,COLLEGE,COLLEGE,COLLEGE,NA,0,0,0,0,NA,NO INFORMATION AVAILABLE,NA,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,29.59658913,-82.34681529,17RLN6957474843,5741,66.54831085,UNIVERSITY OF FLORIDA - IFAS HORSE TEACHING UNIT - GAINESVILLE,V,3/29/2016,9/15/2017,5603,19,35,27
16412-000-000,NA,NA,UNIVERSITY OF FLORIDA - RECSPORTS - LAKE WAUBURG,NA,133 REGATTA DR,MICANOPY,32667,ALACHUA,352-466-4112,COLLEGE/UNIVERSITY,UNIVERSITY OF FLORIDA,STATE,PUBLIC,1939,GEOPLAN,GEOPLAN,NA,COLLEGE,COLLEGE,COLLEGE,NA,0,0,0,0,NA,NO INFORMATION AVAILABLE,NA,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,29.53391229,-82.30577062,17RLN7347167852,5740,18.60067601,UNIVERSITY OF FLORIDA - RECSPORTS - LAKE WAUBURG,V,3/29/2016,9/15/2017,5602,19,35,27
06837-001-000,NA,NA,UNIVERSITY OF FLORIDA - TREEO CENTER,NA,3900 SW 63RD BLVD,GAINESVILLE,32608,ALACHUA,352-392-9570,COLLEGE/UNIVERSITY,UNIVERSITY OF FLORIDA,STATE,PUBLIC,1978,GEOPLAN,GEOPLAN,NA,COLLEGE,COLLEGE,COLLEGE,NA,0,0,0,0,NA,NO INFORMATION AVAILABLE,NA,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,29.62002147,-82.41434701,17RLN6306677517,5742,4.99941237,UNIVERSITY OF FLORIDA - TREEO CENTER,V,3/29/2016,9/15/2017,5604,19,35,27
